མཉམ་འབྲེལ་རྒྱལ་ཚོགས།	De forente nasjoner
ཏན་ཐེ།	Dante Alighieri
ས་ཁམས་རིག་པ།	Geografi
པུ་ལ་ཁེ།	Praha
སྔོན་པོ།	Blå
འབོམ་སྦེ	Mumbai
ཨཱན་དྷ་ར་མངའ་སྡེ།	Andhra Pradesh
ཨ་རུ་ནཱ་ཅལ་མངའ་སྡེ།	Arunachal Pradesh
ཨཱསཱམ།	Assam
སྦི་ཧཱར།	Bihar
མི་ཅི་གྷན།	Michigan
ཆར་ཊི་སི་གྷར།	Chhattisgarh
གྷོའ།	Goa
ཧ་རི་ཡཱ་ཎཱ།	Haryana
ཧི་མ་ཅལ་མངའ་སྡེ།	Himachal Pradesh
ཇ་མུ་དང་ཀ་ཤི་མིར།	Jammu og Kashmir
རྗར་ཁན་ཌི།	Jharkhand
ཁར་ན་ཀྲ་ཁཱ།	Karnataka
ཀེ་ར་ལཱ།	Kerala
མཱ་ནི་པུར།	Manipur
མོན་ཏཱ་ན།	Montana
ཝ་ཡོ་མིང་།	Wyoming
ཇེ་རུ་ས་ལེམ།	Jerusalem
ཝ་ཤིན་ཏྲོན། (རྒྱལ་ཁབ།)	Washington
ནེ་བ་ད།	Nevada
ཏོན་གཙང་པོ།	Don
ཝེ་ནེ་ཏོ།	Veneto
ཁོ་སོ་ཝོ།	Kosovo
ཁོ་ལོ་ར་ཌོ།	Colorado
ཁོ་ལོ་ར་ཌོ་གཙང་པོ།	Colorado (elv)
Category:རིགས།	Kategori:Kategorier
ཕི་ལེ་ཟི་ཕ་སི་ཁལ།	Blaise Pascal
མཆོང་སྒྲིག་མིག་མངས།	Dam (spill)
དགུན་ཁ།	Vinter
དཔྱིད།	Vår
དབྱར་ཁ།	Sommer
སྟོན་ཁ།	Høst
སེ་པན་སྐད།	Spansk
མཱོན་ཊི་ཝི་ཌོ།	Montevideo
ཀ་ལི་ཀུ་ཏ	Kolkata
དྷ་ཁ།	Dhaka
ཨི་སི་ལམ་བོ།	Islamabad
ཤིང་ཏོག	Frukt
སྤྲེའུ།	Apekatter
དངུལ་ལོར།	Penger
ཝིར་ཇི་ནི་ཡ།	Virginia
མ་རིས་ལེན་ཌ།	Maryland
དྷེའི་ལ་ཝར།	Delaware
ལེ་ཉིན།	Vladimir Lenin
ཨོ་ཧེའོ།	Ohio
བིར་སྒྲེལ།	Vergil
ཕེན་སུལ་ཝེ་ནའི་ཡ།	Pennsylvania
པོ་ཅ་ཆུའུ།	Giovanni Boccaccio
ཨའོ་ཀུའུ་སི་ཏུའུ།	Augustus
ནེའུ་ཇེར་སས།	New Jersey
ཨིན་ཌི་ཡཱ་ན།	Indiana
འཇོར་ཇི་ཡ། (ཨ་མེ་རི་ཁ།)	Georgia (USA)
མར་ཁུའུ་སེ་ཨའུ་རེ་ལིའུ་སེ།	Marcus Aurelius
ཛག་རེབ།	Zagreb
ཋེག་ཟ་སི།	Texas
ཏཱ་མིལ་ན་ཌུ།	Tamil Nadu
ཁ་རོ་ལི་ན་ལྷོ་ཕྱོགས།	Sør-Carolina
སི་ཅི་ལི་ཡ།	Sicilia
མ་ནི་ལ།	Manila
ལུའུ་ཝར་གཙང་པོ།	Loire
སེ་ན་གཙང་པོ།	Seine
པུ་ཨེ་ནོ་སི་ཨས་རི་སི།	Buenos Aires
མེག་སི་ཀོ་གྲོང་།	Mexico by
ཐོ་ཁེ་ཡོ།	Tokyo
བྷར་སེ་ལོ་ནཱ།	Barcelona
མི་སི་སི་ཕི།	Mississippi
མི་སི་སི་ཕི་གཙང་པོ།	Mississippi (elv)
འབྲས་ལྗོངས།	Sikkim
ཐེན་ནེ་སི།	Tennessee
ཨ་པོའུ་དྷ་པེ།	Abu Dhabi (by)
ཨ་སི་ཐ་ན།	Astana
མེག་སི་ཀོ་གསར་མ།	New Mexico
ཨ་ཐེན།	Athen
པ་ག་ཏ	Bagdad
ཁ་ར་ཁ་སི	Caracas
ཝིས་སི་ཁོན་སིན།	Wisconsin
ཡོ་བ།	Iowa
གུ་ཝེ་ཐི་མ་ལ་གྲོང་ཁྱེར།	Guatemala by
