अफ़्रीका	Afrika
सिक्का	Mynt
यांत्रिकी	Mekanikk
बोरिस पास्टेरनक	Boris Pasternak
बिग बेन	Big Ben
मुक्त निर्देशिका परियोजना	DMOZ
दक्षिणी गोलार्ध	Sydlige halvkule
इस्लामिक विकास बैंक	Den islamske utviklingsbank
६९ ईसा पूर्व	69 f.Kr.
१६ ईसा पूर्व	16 f.Kr.
३५ ईसा पूर्व	35 f.Kr.
१३ ईसा पूर्व	13 f.Kr.
ऑपेरा वेब ब्राउज़र	Opera (nettleser)
बारपेटा जिला	Barpeta (distrikt)
ग्रैमी पुरस्कार	Grammy Award
हाइनरिख़ हर्ट्ज़	Heinrich Rudolf Hertz
नॉटिंघम	Nottingham
बजट	Budsjett
हेनरी बैकेरल	Henri Becquerel
स्थानीकरण (सॉफ्टवेयर)	Internasjonalisering og lokalisering
संवेग (भौतिकी)	Bevegelsesmengde
जॉन डाल्टन	John Dalton
रॉकेट	Rakett
पत्रिका	Tidsskrift
द्विघात समीकरण	Andregradsligning
उपकला ऊतक	Epitel
अमेरिकी फ़ुटबॉल	Amerikansk fotball
१७ ईसा पूर्व	17 f.Kr.
तुर्कमेनिस्तान का ध्वज	Turkmenistans flagg
६७ ईसा पूर्व	67 f.Kr.
८८ ईसा पूर्व	88 f.Kr.
९६ ईसा पूर्व	96 f.Kr.
५४ ईसा पूर्व	54 f.Kr.
८७ ईसा पूर्व	87 f.Kr.
सिरका	Eddik
तरंगदैर्घ्य	Bølgelengde
दाउद	David av Israel
अवतारवाद	Inkarnasjon
२४ ईसा पूर्व	24 f.Kr.
७७ ईसा पूर्व	77 f.Kr.
कुर्ट गेडेल	Kurt Gödel
नरसंहार	Folkemord
टॅलीटबीज़	Teletubbiene
एडवर्ड मुंख	Edvard Munch
फेदेरीको गार्सिया लोरका	Federico García Lorca
हेडीस	Hades
इस्माइल सामानी पर्वत	Pik Ismail Samani
सूप	Suppe
हेस्टिया	Hestia
बोरुसिया डॉर्टमुंड	Borussia Dortmund
माइकल जॉर्डन	Michael Jordan
बैले	Ballett
जिब्राल्टर पाउंड	Gibraltarsk pund
गिनी की खाड़ी	Guineabukta
आइस हॉकी	Ishockey
कुर्दिस्तान	Kurdistan
अर्श	Hemoroide
शवपरीक्षा	Obduksjon
द गुड, द बैड एंड द अग्ली (1966)	Den gode, den onde og den grusomme
हरमीस	Hermes
न्यायालय	Domstol
वोले शोयिंका	Wole Soyinka
प्राचीन इतिहास	Oldtiden
तंजावुर	Thanjavur
जड़ (वनस्पति)	Rot (plantedel)
हेन्रिक सींकीविक्ज़	Henryk Sienkiewicz
स्टैनफोर्ड विश्वविद्यालय	Stanford University
मोल (इकाई)	Mol (enhet)
विलियम ब्लेक	William Blake
विम्बलडन प्रतियोगिता	Wimbledon (tennis)
प्लूटार्क	Plutark
६० ईसा पूर्व	60 f.Kr.
कार्ल गुस्टाफ युंग	Carl Gustav Jung
मंड	Stivelse
५६ ईसा पूर्व	56 f.Kr.
ड्रैकुला (उपन्यास)	Dracula
५१ ईसा पूर्व	51 f.Kr.
अंतोनियो बान्देरस	Antonio Banderas
रोड्स का कॉलॉसस	Kolossen på Rhodos
ग्रीन हाउस प्रभाव	Drivhuseffekt
सोनीपत	Sonipat
जूलिया गिलार्ड	Julia Gillard
हैमलेट	Hamlet
मान्तेन	Michel de Montaigne
अपस्मार	Epilepsi
बिस्के की खाड़ी	Biscayabukten
कोकेन	Kokain
अल्केन	Alkaner
डेविड हिल्बर्ट	David Hilbert
गोइयास	Goiás
इंडोनेशियाई रुपिया	Indonesisk rupiah
ओम का नियम	Ohms lov
ओख़ोत्स्क सागर	Okhotskhavet
धनिया	Koriander
संवैधानिक राजशाही	Konstitusjonelt monarki
लू श्याबाओ	Liu Xiaobo
हैफ़ा	Haifa
मनोविश्लेषण	Psykoanalyse
फ़ोनीशिया	Fønikia
८१ ईसा पूर्व	81 f.Kr.
६२ ईसा पूर्व	62 f.Kr.
९५ ईसा पूर्व	95 f.Kr.
रमज़ान	Ramadan
७१ ईसा पूर्व	71 f.Kr.
९७ ईसा पूर्व	97 f.Kr.
भारत का ध्वज	Indias flagg
गिनीज़ वर्ल्ड रिकॉर्ड्स	Guinness rekordbok
डायोनाइसस	Dionysos
हेंड्रिक लारेंज़	Hendrik Antoon Lorentz
खच्चर	Muldyr
बंदी की दुविधा	Fangens dilemma
फ़ूज्यान	Fujian
जातीय समूह	Etnisitet
क्वथन	Koking
परिकल्पना	Hypotese
त्राकया	Trakia
अकिलीज़	Akilles
घोस्ट राइडर (फ़िल्म)	Ghost Rider (film)
किण्वन	Fermentering
वाक्य और वाक्य के भेद	Setning (grammatikk)
ग्राम	Gram
८६ ईसा पूर्व	86 f.Kr.
८० ईसा पूर्व	80 f.Kr.
चित्तौड़गढ़	Chittorgarh
शहादा	Shahadah
अदन की खाड़ी	Adenbukta
उच्च रक्तचाप	Hypertensjon
पॉल न्युमैन	Paul Newman
अंतरतारकीय माध्यम	Interstellar materie
७४ ईसा पूर्व	74 f.Kr.
६४ ईसा पूर्व	64 f.Kr.
बेज़वॉटर	Bayswater
९९ ईसा पूर्व	99 f.Kr.
७६ ईसा पूर्व	76 f.Kr.
७९ ईसा पूर्व	79 f.Kr.
६१ ईसा पूर्व	61 f.Kr.
मनमोहन सिंह	Manmohan Singh
रोजा पार्क्स	Rosa Parks
बेबीलोन के झूलते उपवन	Babylons hengende hager
५० ईसा पूर्व	50 f.Kr.
श्री जयवर्धनेपुरा कोट	Kotte
उपलक्षण-नाम	Metonymi
मंगोल	Mongolene
डेमी क्रिट्स	Demokrit
अन्तर्राष्ट्रीय परमाणु ऊर्जा अभिकरण	Det internasjonale atomenergibyrået
भीलवाड़ा जिला	Bhilwara (distrikt)
काली मौत	Svartedauden
संप्रभुता	Suverenitet
अनवर अल-सदात	Anwar Sadat
बाड़मेर जिला	Barmer (distrikt)
देशीय कोड उच्चतम डोमेन	Nasjonalt toppnivådomene
ज़्याँ मेरी गुस्ताव लेक्लेज़ियो	J.M.G. Le Clézio
ओझा	Sjamanisme
आग्नेय शैल	Magmatisk bergart
लकड़बग्घा	Hyenefamilien
स्टार वॉर्स एपिसोड III: रिवेंज ऑफ़ द सिथ	Star Wars Episode III: Sithene tar hevn
इस्फ़हान	Isfahan
३९९ ईसा पूर्व	399 f.Kr.
ह्वेन त्सांग	Xuanzang
गोबी मरुस्थल	Gobiørkenen
डेंज़ल वॉशिंगटन	Denzel Washington
पर्यायवाची	Synonym
टोमास ट्रांसट्रोमर	Tomas Tranströmer
नागरिकता	Statsborgerskap
आन्रि बर्गसां	Henri Bergson
नितम्ब	Rumpeball
क्लेरमाँ फ़ेराँ	Clermont-Ferrand
पलंग	Seng
बकिंघम पैलेस	Buckingham Palace
८२ ईसा पूर्व	82 f.Kr.
आबेल तास्मान	Abel Janszoon Tasman
इसिक कुल	Issyk-Kul
गोथ	Gotere
बंगाईगाँव जिला	Bongaigaon (distrikt)
हाइनान	Hainan
काछाड़ जिला	Cachar (distrikt)
वैन्डल	Vandaler
कार्य (भौतिकी)	Arbeid (fysikk)
१४९ ईसा पूर्व	149 f.Kr.
१०१ ईसा पूर्व	101 f.Kr.
फीनयीन	Pinyin
मेल गिब्सन	Mel Gibson
हँसिया	Sigd
पाम रविवार	Palmesøndag
अनुसंधान	Forskning
राइबोसोम	Ribosom
सुली प्रुढोमे	Sully Prudhomme
जलविज्ञान	Hydrologi
सम स्रोत निर्धारक (स्रोनि)	Uniform Resource Locator
यूरोपीय अंतरिक्ष अभिकरण	Den europeiske romfartsorganisasjon
स्पेन राष्ट्रीय फुटबॉल टीम	Spanias herrelandslag i fotball
गूगल धरती	Google Earth
मैग्मा	Magma
संचिका स्थानांतरण प्रोटोकॉल	FTP
फॉरेन्हाइट	Grad Fahrenheit
क्षुप	Busk
भिन्नता का विश्लेषण	Variansanalyse
बर्नहार्ड रीमान	Bernhard Riemann
मृत्तिका	Leire
ख़ारकिव	Kharkiv
सेबस्तियन वेट्टल	Sebastian Vettel
सवाना	Savanne
ऊन	Ull (tekstil)
पीडीऍफ	Portable Document Format
बाकला	Hagebønne
शंकु	Kjegle
८३ ईसा पूर्व	83 f.Kr.
९२ ईसा पूर्व	92 f.Kr.
९३ ईसा पूर्व	93 f.Kr.
९४ ईसा पूर्व	94 f.Kr.
७८ ईसा पूर्व	78 f.Kr.
मरान्हाओ	Maranhão
ऐंग्लो-सैक्सन भाषा	Gammelengelsk
कान फ़िल्मोत्सव	Cannes filmfestival
निहारिका	Stjernetåke
अन्तर्राष्ट्रीय मातृभाषा दिवस	Morsmålsdagen
यूऍसबी	USB
गांसू	Gansu
श्वेत रक्त कोशिका	Hvit blodcelle
मिखैल शोलोखोव	Mikhail Sjolokhov
अंग्रेज़	Engelskmenn
एवो मोरालेस	Evo Morales
तालिबान आन्दोलन	Taliban
६६ ईसा पूर्व	66 f.Kr.
८५ ईसा पूर्व	85 f.Kr.
८९ ईसा पूर्व	89 f.Kr.
७२ ईसा पूर्व	72 f.Kr.
७३ ईसा पूर्व	73 f.Kr.
पोलैंड का ध्वज	Polens flagg
६८ ईसा पूर्व	68 f.Kr.
अनातोले फ्रांस	Anatole France
शेफ़ील्ड	Sheffield
७५ ईसा पूर्व	75 f.Kr.
अनेग्जीमेण्डर	Anaximander
दरं जिला	Darrang (distrikt)
ध्येयवाक्य	Motto
पर्ल	Perl
डिब्रूगढ़ जिला	Dibrugarh (distrikt)
आयरन मेडेन	Iron Maiden
कुश्ती	Bryting
कैटी पेरी	Katy Perry
ईंधन	Drivstoff
रोरैमा	Roraima
ऍच॰ जी॰ वेल्स	H.G. Wells
मानचित्रकला	Kartografi
गोलाघाट जिला	Golaghat (distrikt)
गोवालपारा जिला	Goalpara (distrikt)
एटोल	Atoll
मसाला	Krydder
ऊष्णकटिबन्ध	Tropene
सिंधु घाटी सभ्यता	Induskulturen
संयुक्त राज्य का ध्वज	USAs flagg
करीमगंज जिला	Karimganj (distrikt)
विस्लावा सिम्बोर्स्का	Wisława Szymborska
कार्बी आंगलोंग जिला	Karbi Anglong (distrikt)
हल्दी	Gurkemeie
लामा (पशु)	Lama
जेम्स कैमरून	James Cameron
किएरा नाइटली	Keira Knightley
फ्रेडेरिक मिस्ट्राल	Frédéric Mistral
जोरहाट जिला	Jorhat (distrikt)
कोकराझार	Kokrajhar (distrikt)
सूझोऊ	Suzhou
भैंस	Vannbøffel
पियाउई	Piauí
फर्नान्डो टोरेस	Fernando Torres
मारिगांव जिला	Marigaon (distrikt)
हान चीनी	Han-kinesere
लखीमपुर जिला	Lakhimpur (distrikt)
हैन्रिक बोल	Heinrich Böll
तिनसुकिया जिला	Tinsukia (distrikt)
जैवमण्डल	Biosfære
शोणितपुर जिला	Sonitpur (distrikt)
उत्तर कछर जिला	Dima Hasao (distrikt)
जॉनी कैश	Johnny Cash
नलबाड़ी जिला	Nalbari (distrikt)
आड्री हेपबर्न	Audrey Hepburn
बोरोबुदुर	Borobudur
बेलो होरिज़ोंटे	Belo Horizonte
दाढ़ी	Skjegg
लिगुरियन सागर	Det liguriske hav
मातो ग्रोसो	Mato Grosso
पोप ग्रीगरी प्रथम	Gregor I den store
इवान तुर्गेन्येव	Ivan Turgenev
लीफ एरिक्सन	Leiv Eiriksson
लॉन्ग थान्ह विमानक्षेत्र	Long Thanh internasjonale lufthavn
एकध्रुवीय अवसाद	Depresjon
अब्दुल्लाह ग्युल	Abdullah Gül
नबी	Profet
पतंग	Drage (leketøy)
निकोलस केज	Nicolas Cage
इटली का ध्वज	Italias flagg
टिरोल	Tirol (Østerrike)
कृष्ण	Krishna
२०१ ईसा पूर्व	201 f.Kr.
२०२ ईसा पूर्व	202 f.Kr.
अररिया जिला	Araria (distrikt)
अरवल	Arwal (distrikt)
उत्परिवर्तन	Mutasjon
निर्वाण	Nirvana
घनचित्रण शैली	Kubisme
ट्रॉय का युद्ध	Den trojanske krig
आगरा	Agra (by i India)
यूरोपीय नाभिकीय अनुसंधान संगठन	CERN
दीवार	Vegg
हारबिन	Harbin
मॉनसून	Monsun
एमनेस्टी इण्टरनेशनल	Amnesty International
वास्तुक	Arkitekt
एलर्जी	Allergi
संस्थितिविज्ञान	Topologi
गोल्डा मेयर	Golda Meir
१४६ ईसा पूर्व	146 f.Kr.
सर्वात्मवाद	Animisme
गुदना	Tatovering
स्फटिक	Kvarts
जोंक	Igler
वित्त	Finans
अर्टेमिस का मन्दिर	Artemistempelet i Efesos
संक्षिप्त सन्देश सेवा	Short Message Service
ऍडविन हबल	Edwin Hubble
३५६ ईसा पूर्व	356 f.Kr.
डेसमंड टूटू	Desmond Tutu
विद्युत अभियान्त्रिकी	Elektroteknikk
हीमोग्लोबिन	Hemoglobin
डेमी मूर	Demi Moore
बांबी	Bambi
न्यूरॉन	Nevron
अक्ष शक्तियाँ	Aksemaktene
सूखा	Tørke
हैन्रिख़ हिम्म्लर	Heinrich Himmler
काली मिर्च	Svart pepper
औरंगाबाद, बिहार	Aurangabad (distrikt i Bihar)
कुरुविंद	Rubin
कश्मीर	Kashmir
बोसॉन	Boson
एल्ब्रुस पर्वत	Elbrus
जेम्बेजी नदी	Zambezi
जनमत-संग्रह	Folkeavstemning
मूलकण	Elementærpartikkel
विकिपीडिया:पाठकों द्वारा अक्सर पूछे जाने वाले सवाल	Wikipedia:OSS
केविन रड	Kevin Rudd
लाइकेन	Lav
सारा पॉलिन	Sarah Palin
भोजन कक्ष	Kjøkken
स्वर्ग गुफा	Thien Duong
न्यायाधिकरण (इनक्विज़िशन)	Inkvisisjonen
जापान का ध्वज	Japans flagg
पर्णहरित	Klorofyll
एलेन जानसन सरलीफ	Ellen Johnson Sirleaf
इरैटोस्थनिज़	Eratosthenes
बीमा	Forsikring
११० ईसा पूर्व	110 f.Kr.
फ्रांस का ध्वज	Frankrikes flagg
ट्रक	Lastebil
युन्नान	Yunnan
डेल्टा	Elvedelta
क्लिंट ईस्टवुड	Clint Eastwood
१०६ ईसा पूर्व	106 f.Kr.
संगठन	Organisasjon
एस्पिरितो सान्तो	Espírito Santo
रोन्डोनिया	Rondônia
पोएसी	Grasfamilien
४८० ईसा पूर्व	480 f.Kr.
सिकन्दरिया का प्रकाशस्तंभ	Fyrtårnet på Faros ved Alexandria
रूपिम	Morfem
रियो ग्रांडे दो नोर्टे	Rio Grande do Norte
बहुपद	Polynom
क्षितिज	Horisont
टुण्ड्रा	Tundra
मोर्दोविया	Russlands føderale enheter
पीटर ब्रूघेल	Pieter Brueghel den eldre
चार्ल्स, वेल्स के राजकुमार	Charles, prins av Wales
विक्टोरिया जलप्रपात	Victoriafallene
जिन्को बाइलोबा	Tempeltre
मोगाओ गुफ़ाएँ	Mogaogrottene
जर्मन साम्राज्य	Tysklands historie (1871–1918)
३३१ ईसा पूर्व	331 f.Kr.
सुल्तान	Sultan
जाह्न माक्सवेल कोएट्ज़ी	John Maxwell Coetzee
टाइम (अंग्रेज़ी पत्रिका)	Time (magasin)
पवन ऊर्जा	Vindkraft
२०० ईसा पूर्व	200 f.Kr.
जर्मनी राष्ट्रीय फुटबॉल टीम	Tysklands herrelandslag i fotball
मातो ग्रोसो दो सुल	Mato Grosso do Sul
पोम्पेइ	Pompeii
बेसाल्ट	Basalt
लोक संगीत	Folkemusikk
जलालुद्दीन रूमी	Rumi
हैरी पॉटर और पारस पत्थर	Harry Potter og de vises stein
यूरेशियाई लिंक्स	Gaupe
सीबीएस	CBS
रॉबर्ट बॉयल	Robert Boyle
शानदोंग	Shandong
कियानू रीव्स	Keanu Reeves
ईसप	Æsop
३२२ ईसा पूर्व	322 f.Kr.
३३६ ईसा पूर्व	336 f.Kr.
जस्टिन टिम्बरलेक	Justin Timberlake
चण्डीगढ़	Chandigarh
मोती	Perle
जिओसुए कार्डुच्ची	Giosuè Carducci
गुस्ताव फ्लोवेर	Gustave Flaubert
गोजर	Skolopendere
ब्रिटिश हिंद महासागर क्षेत्र	Det britiske territoriet i Indiahavet
क्रिएटिव कॉमन्स	Creative Commons
जिम्नास्टिक्स	Gymnastikk
मानव जाति विज्ञान	Etnologi
हकीम अबुल कासिम फिरदौसी तुसी	Firdausi
फोर्टलेज़ा	Fortaleza
इंडोचायना	Indokina
अंकोरवाट मंदिर	Angkor Vat
डर्बी	Derby (Derbyshire)
एवोगैड्रो	Amedeo Avogadro
प्राकृतिक वरण	Naturlig seleksjon
फ़्रैंक लोग	Frankere
कुआँ	Brønn
चिड़ियाघर	Dyrehage
डोडो	Dronte
नाइटविश	Nightwish
सौंफ	Fennikel
के२	K2
पन्ना	Smaragd
आपेक्षिकता सिद्धांत	Relativitetsteorien
समुद्र विज्ञान	Oseanografi
भूवैज्ञानिक समय-मान	Geologisk tidsskala
एंटोनी वॉन ल्यूवेन्हॉक	Anton van Leeuwenhoek
गेर्हार्ट हौप्टमान	Gerhart Hauptmann
सिटिंग बुल	Sitting Bull
क्रिस्टल	Krystall
फ्रेंच ओपन	French Open
मम्मी	Mumie
प्राकृतिक पर्यावरण	Miljø
मॅक ऑपरेटिंग सिस्टम	Mac OS
एकाधिकार	Monopol
उदप्रांगार	Hydrokarbon
अपोलो ११	Apollo 11
कोलेस्टेरॉल	Kolesterol
हेनान	Henan
बुर्सा प्रांत	Bursa (provins)
टोकाचिस	Tocantins
संघ (प्रशासन)	Føderasjon
बरमूडा त्रिभुज	Bermudatriangelet
एन्ड्रेस इनिएस्‍टा	Andrés Iniesta
यासुनारी कावाबाता	Yasunari Kawabata
मरूद्यान	Oase
२०१० हैती भूकम्प	Jordskjelvet i Haiti 2010
सर्जिपे	Sergipe
मैडिसन	Madison (Wisconsin)
टर्की	Kalkuner
नाभि	Navle
अकशेरुकी प्राणी	Virvelløse dyr
पासपोर्ट	Pass
व्यापारी	Forretningsfolk
एडी मर्फी	Eddie Murphy
लियाओनिंग	Liaoning
हामिद करज़ई	Hamid Karzai
मोहम्मद युनुस	Muhammad Yunus
पक्षी इन्फ्लूएंजा	Fugleinfluensa
थियोडोर हर्ज्ल	Theodor Herzl
३८४ ईसा पूर्व	384 f.Kr.
फ्रांज मार्क	Franz Marc
२६४ ईसा पूर्व	264 f.Kr.
ला प्लाटा	La Plata
रीज विदरस्पून	Reese Witherspoon
१८५ ईसा पूर्व	185 f.Kr.
जेसिका एल्बा	Jessica Alba
१६९ ईसा पूर्व	169 f.Kr.
११९ ईसा पूर्व	119 f.Kr.
१९५ ईसा पूर्व	195 f.Kr.
११५ ईसा पूर्व	115 f.Kr.
डेनियल शेचमैन	Dan Shechtman
१२० ईसा पूर्व	120 f.Kr.
सर्वर	Tjener
श्वेत सागर	Kvitsjøen
जेफ़ हार्डी	Jeff Hardy
क्रिस जेरिको	Chris Irvine
हैमिल्टन टाइगर-कैटस	Hamilton Tiger-Cats
मध्यपाषाण काल	Mesolitikum
तुलों	Toulon
इंजन	Motor
१५६ ईसा पूर्व	156 f.Kr.
हल्क होगन	Hulk Hogan
१२९ ईसा पूर्व	129 f.Kr.
विलियम गोल्डिंग	William Golding
क्रोनोस	Kronos
रौशनी-से-तेज़	Overlyshastighet
१०४ ईसा पूर्व	104 f.Kr.
चंद्रग्रहण	Måneformørkelse
१३९ ईसा पूर्व	139 f.Kr.
मैक्स क्लिंजर	Max Klinger
२०६ ईसा पूर्व	206 f.Kr.
सन्त निकोलस	Nikolas av Myra
मिशेल फूको	Michel Foucault
ऑलिवर क्रॉमवेल	Oliver Cromwell
३२३ ईसा पूर्व	323 f.Kr.
रुडोल्फ मोसबेउर	Rudolf Mößbauer
क्रिस बेनोइट	Chris Benoit
कायोटी	Prærieulv
जिम मॉरिसन	Jim Morrison
नागोर्नो-काराबाख़	Nagorno-Karabakh
द अंडरटेकर	Mark Calaway
सलमान रुश्दी	Salman Rushdie
जिहाद	Jihad
स्टोन कोल्ड स्टीव ऑस्टिन	Stone Cold Steve Austin
थ्रिलर	Thriller (album)
२०३ ईसा पूर्व	203 f.Kr.
सत्तामीमांसा	Ontologi
बशर अल - असद	Bashar al-Assad
आव्यूह	Matrise
आख्यान	Legende
१०२ ईसा पूर्व	102 f.Kr.
त्सार	Tsar
फर्मिऑन	Fermion
सुरंग	Tunnel
पॉल वेइट	Big Show
कैमरुन डिएज़	Cameron Diaz
हैफ़ीस्टस	Hefaistos
दारा प्रथम	Dareios I av Persia
पास्कल (इकाई)	Pascal (enhet)
धर्मतंत्र	Teokrati
हैन्स क्रिश्चियन ओर्स्टेड	Hans Christian Ørsted
रासायनिक आबंध	Kjemisk binding
विन्स मैकमोहन	Vince McMahon
ऊष्मा	Varme
जॉन सीना	John Cena
गोल्डन गेट सेतु	Golden Gate Bridge
फैबेसी	Erteblomstfamilien
खेल सिद्धांत	Spillteori
रिचर्ड डॉकिन्स	Richard Dawkins
ऑरलैंडो ब्लूम	Orlando Bloom
भाला	Spyd
पियेर सिमों लाप्लास	Pierre-Simon Laplace
द ग्रेट खली	Dalip Singh
१५९ ईसा पूर्व	159 f.Kr.
खनन	Gruvedrift
१४१ ईसा पूर्व	141 f.Kr.
महामारी	Epidemi
ब्रुनो क्रेइस्क्य	Bruno Kreisky
सेल्मा लागेर्लाफ	Selma Lagerlöf
सदिश राशि	Vektor (matematikk)
मन्दिर	Tempel
एरेसिबो वेधशाला	Arecibo-observatoriet
१८३ ईसा पूर्व	183 f.Kr.
सनकी घोड़ा	Crazy Horse (indianer)
ग़ैर-सौरीय ग्रह	Eksoplanet
ट्रिपल एच	Paul Levesque
ग्नू	GNU
टाइटैनिक (1997 फ़िल्म)	Titanic (1997)
रसायन शास्त्र में नोबेल पुरस्कार	Nobelprisen i kjemi
विद्याधर सूरजप्रसाद नैपाल	V.S. Naipaul
नरभक्षण	Kannibalisme
उपवास	Faste
डर	Frykt
चाकमय कल्प	Kritt (geologi)
शूलचर्मी	Pigghuder
कनाडियाई अंग्रजी़	Canadisk engelsk
२४१ ईसा पूर्व	241 f.Kr.
२०९ ईसा पूर्व	209 f.Kr.
द स्टार-स्पैंग्ल्ड बैनर	The Star-Spangled Banner
पक्षीविज्ञान	Ornitologi
२१० ईसा पूर्व	210 f.Kr.
छोटी माता	Vannkopper
१०३ ईसा पूर्व	103 f.Kr.
पिज़ारो	Francisco Pizarro
अनिश्चितता सिद्धान्त	Heisenbergs uskarphetsrelasjon
कैटमार्का	Catamarca
चाको	Chaco
१४५ ईसा पूर्व	145 f.Kr.
३४७ ईसा पूर्व	347 f.Kr.
१४२ ईसा पूर्व	142 f.Kr.
बंदरगाह (पोर्ट)	Havn
रियो नेग्रो	Río Negro (provins)
साल्टा	Salta (provins)
सुहार्तो	Suharto
१०९ ईसा पूर्व	109 f.Kr.
२१५ ईसा पूर्व	215 f.Kr.
१४८ ईसा पूर्व	148 f.Kr.
सुज़ुकी देइसेत्ज़	D.T. Suzuki
मॉडल दृष्टि नियंत्रक	Model–view–controller
गुवांगज़ोउ बाइयुन अन्तर्राष्ट्रीय विमानक्षेत्र	Guangzhou Baiyun internasjonale lufthavn
पारो विमानक्षेत्र	Paro lufthavn
शेडोंग गुफा	Son Doong
लिंडसे लोहान	Lindsay Lohan
सु डोकु	Sudoku
बोले अन्तर्राष्ट्रीय विमानक्षेत्र	Bole internasjonale lufthavn
बिंदु	Punkt
एलेक्स फर्ग्यूसन	Alex Ferguson
एन्ट्रॉपी	Entropi
पुरेपेचा लोग	Purépecha
१२१ ईसा पूर्व	121 f.Kr.
१८९ ईसा पूर्व	189 f.Kr.
हेलो ४	Halo 4
१७९ ईसा पूर्व	179 f.Kr.
सिमुलेशन	Simulering
१८६ ईसा पूर्व	186 f.Kr.
यमराज	Yama
अलसी	Lin
१९० ईसा पूर्व	190 f.Kr.
आईसीडी-१०	Liste over ICD-10-koder
१५२ ईसा पूर्व	152 f.Kr.
सीरिया का ध्वज	Syrias flagg
१६८ ईसा पूर्व	168 f.Kr.
सिडनी ओपेरा हाउस	Operahuset i Sydney
कोल्डप्ले	Coldplay
सीमेंट	Sement
जीलिन	Jilin (provins)
पिस्टन	Stempel
ज़ॅक ऍफ्रॉन	Zac Efron
मोंटी कार्लो	Monte Carlo
३३३ ईसा पूर्व	333 f.Kr.
२३५ ईसा पूर्व	235 f.Kr.
सफ़्फ़ारी राजवंश	Saffaridene
हेरात	Herat
बर्बर	Berbere
पूर्वी चीन सागर	Østkinahavet
द डोर्स	The Doors
माउसोलस का मकबरा	Mausoleet i Halikarnassos
२२२ ईसा पूर्व	222 f.Kr.
तख़्ता पलट	Statskupp
२३६ ईसा पूर्व	236 f.Kr.
समुद्री डकैती	Sjørøveri
२३७ ईसा पूर्व	237 f.Kr.
ब्रह्मपुत्र नदी	Brahmaputra
२३८ ईसा पूर्व	238 f.Kr.
२३९ ईसा पूर्व	239 f.Kr.
२३३ ईसा पूर्व	233 f.Kr.
आर एस एस फीड	RSS
ब्रिटिश काउंसिल	British Council
२३१ ईसा पूर्व	231 f.Kr.
१७७ ईसा पूर्व	177 f.Kr.
२२९ ईसा पूर्व	229 f.Kr.
१७१ ईसा पूर्व	171 f.Kr.
२२५ ईसा पूर्व	225 f.Kr.
१३३ ईसा पूर्व	133 f.Kr.
२२६ ईसा पूर्व	226 f.Kr.
१३७ ईसा पूर्व	137 f.Kr.
२२३ ईसा पूर्व	223 f.Kr.
१८४ ईसा पूर्व	184 f.Kr.
१४४ ईसा पूर्व	144 f.Kr.
स्वस्तिक	Hakekors
१४७ ईसा पूर्व	147 f.Kr.
डेनिस रिची	Dennis Ritchie
संयुक्त राज्य अमेरिका के राष्ट्रपति चुनाव, २००८	Presidentvalget i USA 2008
वैष्णव सम्प्रदाय	Vaishnavisme
२३२ ईसा पूर्व	232 f.Kr.
कांधार	Kandahar
मृतिकाशिल्प	Keramikk
१५१ ईसा पूर्व	151 f.Kr.
लिमोज	Limoges
मेटरनिख	Klemens von Metternich
नीलगिरी (यूकलिप्टस)	Eukalyptusslekten
कोनामी	Konami
टाइटन (यूनानी चरित्र)	Titaner
शेर्लोटस वेब	Charlottes tryllevev (barnebok)
विश्वनाथन आनंद	Viswanathan Anand
कटहल	Jackfrukt
हूनान	Hunan
जैक लंडन	Jack London
३५० ईसा पूर्व	350 f.Kr.
क्रिश्चियन बॅल	Christian Bale
ओखली और मूसल	Morter og pistil
जलजीवशाला	Akvarium
सत्येन्द्रनाथ बोस	Satyendra Nath Bose
किंग आर्थर	Kong Arthur
दैंकर्क	Dunkerque
दहेज प्रथा	Medgift
जुरैसिक कल्प	Jura (geologi)
हूण लोग	Hunere
बेरिंट सागर	Barentshavet
चिंगहई	Qinghai
१९७ ईसा पूर्व	197 f.Kr.
२०७ ईसा पूर्व	207 f.Kr.
गौरी खान	Gauri Khan
१०५ ईसा पूर्व	105 f.Kr.
१८८ ईसा पूर्व	188 f.Kr.
१८० ईसा पूर्व	180 f.Kr.
१३१ ईसा पूर्व	131 f.Kr.
बाण	Pil
पीकिंग मानव	Pekingmennesket
स्ट्रैबो	Strabon
कोशिकांग	Organelle
लाल किला	Det røde fortet
चीनी-तिब्बती भाषा-परिवार	Sinotibetanske språk
पर्सिफ़ोनी	Persefone
चेस्वाव मीलोश	Czesław Miłosz
रिद्म एंड ब्लूज़	Rhythm and blues
लाओस का ध्वज	Laos' flagg
फ़्रैंकफ़र्ट विमानक्षेत्र	Frankfurt internasjonale lufthavn
१९१ ईसा पूर्व	191 f.Kr.
खरहा	Harer
फ्रांसीसी जर्मन युद्ध	Den fransk-prøyssiske krig
दादरा और नगर हवेली	Dadra og Nagar Haveli
उइग़ुर	Uighurer
आरोग्य आश्रम	Sanatorium
२७५ ईसा पूर्व	275 f.Kr.
२१२ ईसा पूर्व	212 f.Kr.
मानववाद	Humanisme
बेस गिटार	Bassgitar
असेन्शियन द्वीप	Ascension
