आफ्रिकाखण्डः	Afrika
६४२	642
३१३	313
१८०	180
७९४	794
५८७	587
५३०	530
६०९	609
४९७	497
५४०	540
४२८	428
५४८	548
४२२	422
५४९	549
४५७	457
४७८	478
२५३	253
४६७	467
४५८	458
१५८	158
१५७	157
१६४	164
१२४	124
११३	113
१२१	121
१०६	106
५५१	551
४९४	494
३२०	320
२४२	242
२९१	291
४८	48
९७	97
५६	56
९३	93
५७	57
५०३	503
५१०	510
५०९	509
४७४	474
४८४	484
५७६	576
४९३	493
४७९	479
२८७	287
४०७	407
४८५	485
५४७	547
५४६	546
५४४	544
५३७	537
५३५	535
५०२	502
५२७	527
५०८	508
५२५	525
६१३	613
६१८	618
६१७	617
६०८	608
६४५	645
६२१	621
६०६	606
६२३	623
६०४	604
६०३	603
६२६	626
६१९	619
६३४	634
६३०	630
६१४	614
५०५	505
४४६	446
७९१	791
५५७	557
६५६	656
६५७	657
६५९	659
६५१	651
६७६	676
६७०	670
६५२	652
६७३	673
६५४	654
६४७	647
८१२	812
६६९	669
७९२	792
६४९	649
८९५	895
७५६	756
६६३	663
७७९	779
६६२	662
६८४	684
७७३	773
७५७	757
४३५	435
७९०	790
४३७	437
४३३	433
७६४	764
४२६	426
७८१	781
४२५	425
४२९	429
४२३	423
७६५	765
२३५	235
२३३	233
२२३	223
२२४	224
२१६	216
२१९	219
२५४	254
२७२	272
२०८	208
१७५	175
१७०	170
१७१	171
१७२	172
५८	58
५९	59
१३९	139
११४	114
१३४	134
१३५	135
१७९	179
१४२	142
९६	96
१८१	181
१४६	146
१४५	145
१८३	183
१८२	182
१८४	184
३२४	324
५८९	589
शुकः	Papegøyefugler
५२१	521
९२	92
५९७	597
३२९	329
१३३	133
४१३	413
२५८	258
२५९	259
१९६	196
२३६	236
७८९	789
३३२	332
६३१	631
४८७	487
६३८	638
४७३	473
१७६	176
१४३	143
६४३	643
५२३	523
२१५	215
१४८	148
२४७	247
४२४	424
६४१	641
४९२	492
६३९	639
२५६	256
४४१	441
१३१	131
१९१	191
४५०	450
६१२	612
६३५	635
६११	611
५३४	534
४८८	488
६०७	607
५२४	524
२८२	282
४७२	472
४७१	471
४९०	490
३१६	316
७९७	797
५११	511
२९५	295
५९८	598
३०३	303
२५०	250
५१५	515
५१२	512
४१८	418
३३३	333
२९४	294
२१७	217
२७७	277
५७८	578
३१२	312
२८४	284
२८३	283
२४१	241
मेषराशिः	Væren (stjernetegn)
२४३	243
२६२	262
४९८	498
३३६	336
३३४	334
२६६	266
मुष्टिकाताडनक्रीडा	Boksing
२६१	261
४७०	470
३४९	349
२७१	271
२७५	275
२९२	292
२९६	296
३४५	345
४३१	431
३०४	304
५५०	550
५८६	586
५८८	588
५५४	554
२२९	229
५८३	583
२६५	265
२६३	263
५८५	585
५८२	582
५५६	556
४२०	420
२८०	280
५८१	581
५५८	558
३०२	302
३०९	309
३५३	353
३३५	335
३६७	367
३४४	344
२४५	245
२९०	290
४४९	449
३०८	308
२५५	255
४३९	439
३१९	319
३१८	318
२९९	299
४१९	419
४१६	416
३३८	338
३१०	310
३१५	315
३५९	359
३६०	360
२७३	273
२८६	286
२८८	288
२७८	278
४५५	455
५७७	577
५७५	575
४८२	482
४८६	486
५८०	580
५६७	567
५६४	564
५६१	561
३२८	328
३२५	325
३१७	317
५७४	574
५६६	566
२४९	249
३४८	348
४४२	442
४४३	443
२६७	267
२४४	244
२४८	248
३४३	343
५६२	562
४१७	417
२६८	268
५९०	590
२६९	269
४९९	499
मलाला युसुफजई	Malala Yousafzai
४०९	409
४०५	405
४०६	406
४०३	403
४१४	414
४११	411
४१२	412
५६०	560
५९२	592
२७६	276
३१४	314
३२३	323
३६६	366
३६२	362
५४५	545
५३१	531
५१४	514
५१३	513
५३९	539
५३८	538
५१९	519
५१६	516
५२०	520
५२२	522
५२८	528
५०६	506
५२६	526
५०७	507
२१४	214
२१३	213
२१२	212
२२८	228
२२७	227
१४९	149
१७४	174
१८९	189
१९९	199
१४१	141
१३२	132
१२५	125
१२३	123
१४७	147
१४४	144
१९८	198
१७८	178
१७७	177
१८७	187
१९५	195
१८६	186
३४७	347
६२०	620
६२४	624
६०५	605
६२९	629
६१६	616
६१५	615
६४४	644
६४६	646
६३३	633
६३७	637
मोघलसाम्राज्‍यम्	Mogulriket
४३६	436
४३४	434
२९३	293
४२७	427
१८५	185
३२१	321
जालन्धर	Jalandhar
३२७	327
४३०	430
त्रोत्स्की	Lev Trotskij
४४७	447
लिटिल् राक्	Little Rock
५६९	569
हुब्बळ्ळी	Hubli-Dharwad
५६८	568
४४४	444
७९६	796
गढ़वाली	Garhwali
७९८	798
एला	Kardemomme
७९३	793
६८५	685
हार्टफ़र्ड्	Hartford
७९९	799
६८३	683
२७४	274
डोवर्, डेलावेर्	Dover (Delaware)
५७९	579
कुमाँऊनी	Kumauni
२८१	281
३०६	306
४३८	438
कश्मीरी	Kasjmiri
२९७	297
४२१	421
२९८	298
३५१	351
३५२	352
३५५	355
९५	95
९४	94
५९४	594
५४२	542
४४८	448
४४५	445
३०५	305
२३४	234
५६५	565
कन्नडभाषा	Kannada
३८१	381
३८५	385
५५३	553
३०७	307
५८४	584
३४६	346
२५७	257
विद्युत्	Lyn
२८५	285
५९१	591
२८९	289
हस्तः	Hånd
५६३	563
२५२	252
ओडियाभाषा	Oriya
नेपाली भाषा	Nepali
जनसङ्ख्या	Befolkning
५९५	595
२४६	246
५९६	596
५९३	593
३५७	357
५७३	573
नेपालभाषा	Nepal bhasa
वालपाराईसो	Valparaíso
अभिनेता	Skuespiller
भल्लातकः	Kasjutre
जलपातः	Foss
५५९	559
५९९	599
३२६	326
३४१	341
३२२	322
३८६	386
३७४	374
३८०	380
नवनीतम्	Smør
१३६	136
कोङ्कणी	Konkani
लाइनस टोर्वाल्ड्स	Linus Torvalds
अलेग्झाण्डर् ग्रहां बेल्	Alexander Graham Bell
फलितज्योतिषम्	Astrologi
वाद्ययन्त्राणि	Musikkinstrument
हंसः	Svaner
न्‍यू आर्लीन्‍स	New Orleans
हिरोहितो	Hirohito av Japan
३८२	382
३४२	342
३७३	373
३७२	372
सोमालिलैंड	Somaliland
मधुकर्कटीफलम्	Papaya
३७५	375
बेंजामिन फ्रैंकलिन	Benjamin Franklin
विल्हेल्म् कार्नार्ड् रोण्ट्जेन्	Wilhelm Conrad Röntgen
तत्त्वमीमांसा	Metafysikk
३८७	387
कोलम्बो	Colombo
आर्द्रकम्	Ingefær
द्रव्यम् (भौतविज्ञानम्)	Materie
बाय्सी	Boise
श्वासरोगः	Astma
हो चि मिन्ह	Hồ Chí Minh
मैथिली भाषा	Maithili
मलयाळम्	Malayalam
जीवनी	Biografi
इगुवास्सुजलपातः	Iguazúfallene
लोज़बानम्	Lojban
हाम्मुरबी	Hammurabi
महारानी काथरिन	Katarina II av Russland
हान्निबल	Hannibal
पिष्टानि	Mel
गुग्लिमो मार्कोनी	Guglielmo Marconi
अटिला	Attila
पालिभाषा	Pali
अङ्ग सान् सू की	Aung San Suu Kyi
नखः	Negl
कुष्ठरोगः	Spedalskhet
वदनम्	Ansikt
टालाहासे	Tallahassee
सर् अलेक्साण्डर् प्लेमिङ्ग्	Alexander Fleming
फ्लोरेन्स नैटिन्गेल	Florence Nightingale
गुल्बर्गा	Gulbarga
३३१	331
३६५	365
३७९	379
राबर्ट् कोख्	Robert Koch
अध्यापकः	Lærer
रामायणम्	Ramayana
कलायः	Peanøtt
जानु	Kne
पिएरे क्युरी	Pierre Curie
टी. एस. एलियट	T.S. Eliot
पर्यावरणव्यवस्था	Økosystem
शीतकम्	Kjøleskap
मिष्टालुकम्	Søtpotet
ग्रिगोर् जान् मेण्डेल्	Gregor Mendel
रङ्गून	Yangôn
हेलेन केलर	Helen Keller
हेनरी ८	Henrik VIII av England
सान्टा फ़े	Santa Fe
देवनागरी	Devanagari
कलिङ्गफलम्	Vannmelon
पाकशास्त्रम्	Matlaging
ज्वरः	Feber
अन्ताराष्ट्रिय-महिलादिनम्	Den internasjonale kvinnedagen
शेयेन्	Cheyenne
रिचार्ड फैनमन	Richard Feynman
आयतनम्	Volum
नारङ्ग	Oransje
पोल पॉट	Pol Pot
पेट्रोल्	Bensin
क्रिस्टियन् हुगेन्स्	Christiaan Huygens
डे माय्ने	Des Moines
वातामम्	Mandel
वेदः	Vedaene
जार्डन्-नदी	Jordan (elv)
आम्लीयवर्षणम्	Sur nedbør
कार्ल बेन्ज़	Carl Benz
परवेज़ मुशर्रफ़	Pervez Musharraf
पियेर्	Pierre
धान्यानि	Frø
एड्वर्ड् जेन्नर्	Edward Jenner
अण्डमाननिकोबारद्वीपसमूहः	Andamanene og Nikobarene
वर्नर हाइजेनबर्ग	Werner Heisenberg
नेफेरतिति	Nefertiti
एवा पेरोन	Eva Perón
ललाटम्	Panne
टोपेका	Topeka
इटानगरम्	Itanagar
मार्टिन स्कोर्सेसे	Martin Scorsese
ग्रनैट् (शिला)	Granitt
कर्ट गोडेल	Kurt Gödel
आमलकम्	Stikkelsbær
डेविड हिल्बर्ट	David Hilbert
छत्रम्	Paraply
कुस्तुम्बरी	Koriander
रमजान्	Ramadan
भारतस्य राष्ट्रध्वजः	Indias flagg
हेण्ड्रिक लारेन्ज़	Hendrik Antoon Lorentz
चित्तौडगढ	Chittorgarh
अन्तरतारकीयमाध्यमम्	Interstellar materie
मनमोहन सिंह	Manmohan Singh
रोजा पार्क्स	Rosa Parks
भीलवाडामण्डलम्	Bhilwara (distrikt)
अन्वर् अल्-सादात्	Anwar Sadat
बाडमेरमण्डलम्	Barmer (distrikt)
स्टार् वार्स्:रिवेंज् आफ़् दि सिथ्	Star Wars Episode III: Sithene tar hevn
गोबीमरुस्थलम्	Gobiørkenen
संशोधनस्य प्रयोजनानि	Forskning
गूगल् अर्त्	Google Earth
बर्न्हार्ड रीमन	Bernhard Riemann
मृत्तिका	Leire
शिम्बी	Hagebønne
मल्लक्रीडा	Bryting
गन्धद्रव्याणि	Krydder
सिन्धुसंस्कृतिः	Induskulturen
हरिद्रा	Gurkemeie
कूर्परः	Albue
ओलम्पिया	Olympia (Washington)
बोरोबुदुर्	Borobudur
कृष्णः	Krishna
आग्रा	Agra (by i India)
तैलम्	Olje
इवान् पेत्रोविच् पाव्लोव्	Ivan Pavlov
फ़्रान्ज़ फर्डिनान्ड	Franz Ferdinand av Østerrike-Este
मरीचम्	Svart pepper
माणिक्यम्	Rubin
काश्मीर	Kashmir
ओमाहा	Omaha
रिच्मन्ड्	Richmond (Virginia)
चण्डीगढ	Chandigarh
मुक्ता	Perle
स्त्री	Hun
दाक्षम्	Gymnastikk
अङ्गकोरवाटम्	Angkor Vat
अन्तोन् वान् ल्यूवेन् वोक्	Anton van Leeuwenhoek
बैठा बैल	Sitting Bull
भ्रूः	Øyenbryn
माडिसन्	Madison (Wisconsin)
अकशेरुकाः	Virvelløse dyr
सेलेम्, ओरेगन्	Salem (Oregon)
लेतुवायर्क्	Tautiška giesmė
आलिवर क्रामवेल	Oliver Cromwell
रुडोल्फ मोसबेउर	Rudolf Mößbauer
सलमान रश्दी	Salman Rushdie
हान्स कृस्टियन ओर्स्टेड	Hans Christian Ørsted
पियर सिमों लाप्लास	Pierre-Simon Laplace
हिन्दुदेवालयः	Tempel
चार्ल्सटन्	Charleston (Vest-Virginia)
विद्याधर सूरजप्रसाद नैपाल	V.S. Naipaul
पोताश्रयः	Havn
सुहार्तो	Suharto
ब्रह्मपुत्रनदः	Brahmaputra
विलियम वर्ड्सवर्थ	William Wordsworth
विश्वनाथन् आनन्द	Viswanathan Anand
पनसफलम्	Jackfrukt
सत्येन्द्रनाथ बोस्	Satyendra Nath Bose
वरदक्षिणा	Medgift
रक्तदुर्गम्	Det røde fortet
दादरा नगरहवेली च	Dadra og Nagar Haveli
विलियम ए फोलर	William Alfred Fowler
कूर्मः	Landskilpadder
अफीण	Opium
द प्रेस्टीज्	The Prestige (film)
भगवद्गीता	Bhagavadgita
द टाइम्स ओफ इण्डिया	The Times of India
राबर्ट् हुक्	Robert Hooke
तिब्बतीलिपिः	Tibetansk skrift
पालीमण्डलम्	Pali (distrikt)
कपोलः	Kinn (anatomi)
ऐश्वर्या रै	Aishwarya Rai
बभ्रुः	Brun
यजुर्वेदः	Yajurveda
पञ्जाबराज्यस्य मण्डलानि	Distrikter i Punjab (India)
कामसूत्रम्	Kamasutra
कीटः	Makk
जे जे थामसन	Joseph John Thomson
स्वामी विवेकानन्द	Vivekananda
मातृदिवसः	Morsdag
प्रतिभा पाटिल	Pratibha Patil
३३९	339
३४०	340
लखनौ	Lucknow
३५४	354
बुलढाणामण्डलम्	Buldana (distrikt)
३५६	356
३५८	358
३६१	361
३६३	363
३६४	364
३६८	368
३६९	369
३७०	370
३७१	371
फलकम्:Commonscat	Mal:Commonscat
३७६	376
३७७	377
३७८	378
३८३	383
३८४	384
३८८	388
३८९	389
३९०	390
३९१	391
३९२	392
३९३	393
३९४	394
३९५	395
३९६	396
३९७	397
३९८	398
३९९	399
काळिङ्गसर्पः	Kongekobra
पक्ष्म	Øyelokk
महायानम्	Mahayana
अमृतसर	Amritsar
शवः	Lik
२७९	279
४४०	440
५१७	517
५७२	572
कोलोराडो स्प्रिंग्स्	Colorado Springs
मजापहित साम्राज्य	Majapahit
पर्यटनम्	Turisme
कविः	Poet
जी-सुंग पार्क	Park Ji-sung
फलकम्:Taxobox	Mal:Taksoboks
जेम्स फ्रान्क	James Franck
विल्हेम वेन	Wilhelm Wien
गुस्टाफ् हर्ज्	Gustav Hertz
आटो स्टर्न	Otto Stern
पाल् एर्लख्	Paul Ehrlich
जोहन्नेस स्टार्क	Johannes Stark
मारिया गोपर्ट-मेयर	Maria Goeppert-Mayer
प्रणब मुखर्जि	Pranab Mukherjee
पञ्जाबीभाषा	Panjabi
सरस्वती देवी	Sarasvati
काव्यविभागाः	Litteraturkritikk
हिक्का	Hikke
तन्तुकरणयन्त्रम्	Spinnerokk
शिवसेना	Shiv Sena
वेङ्कटरामन् रामकृष्णन्	Venkatraman Ramakrishnan
रजनीकान्तः	Rajinikanth
चन्द्रशेखर वेङ्कटरामन्	Venkata Raman
मौर्यसाम्राज्यम्	Mauryariket
वुल्फगांग पौली	Wolfgang Pauli
जयपुरम्	Jaipur
कानपुरम्	Kanpur
इन्दौर	Indore
दमण	Daman og Diu
पुदुच्चेरी	Puducherry
सूरणम्	Yam
अपवर्तनम् (भौतविज्ञानम्)	Lysbrytning
सुकर्णो	Sukarno
मेघावती सुकर्णोपुत्री	Megawati Sukarnoputri
वुल्फगांग केट्टेर्ले	Wolfgang Ketterle
ओट्टो हेन्रिक् वार्बर्ग्	Otto Heinrich Warburg
अगस्ट् वीस्मान्	August Weismann
हान्स् लिप्पर्शे	Hans Lipperhey
वाल्थेर बोथे	Walther Bothe
अहिंसा	Ikkevold
थियोडोर् स्छ्वान्	Theodor Schwann
म्याथयास् जेकब् ष्लेडन्	Matthias Jakob Schleiden
जे हान्स डी जेन्सेन	J. Hans D. Jensen
पावेल शेरेन्कोव	Pavel Tsjerenkov
जेम्स ६ (स्काटलैंड)	Jakob I av England
काशी	Varanasi
घृतकुमारी	Aloe vera
पटना	Patna
रूप्यकम्	Indisk rupi
जेम्स् चाडविक	James Chadwick
डोनाल्ड ए ग्लेसर	Donald A. Glaser
भोपाल	Bhopal
होमियोपति	Homøopati
चणकः	Kikert
चार्ल्स १	Karl I av England
खदिरवृक्षः	Akasieslekten
चार्ल्स् -अगस्टीन् डि कूलुम्ब	Charles Augustin Coulomb
जान कीट्स	John Keats
जीन् ब्याप्टिस्ट् लामार्क्	Jean-Baptiste de Lamarck
सेम्येल टेलर कोलरिज	Samuel Taylor Coleridge
विलियम वालेस	William Wallace
लीयों नील कूपर	Leon Cooper
मेरी १ (इंगलैंड)	Maria I av England
चिबुकम्	Hake
टिमोर	Timor
अग्निप्रस्तरः	Flint
छत्राकम्	Fruktlegeme
जन गण मन	Indias nasjonalsang
श्रीनिवासरामानुजन्	Srinivasa Aiyangar Ramanujan
जातीफलम्	Muskatnøttslekten
एडवर्ड ६	Edvard VI av England
गुरु नानक देव	Guru Nának
लुइस डे ब्रोग्ली	Louis de Broglie
जेम्स् डि व्याट्सन्	James D. Watson
अङ्गुष्ठः	Tommel
एलेनोर रोज़वेल्ट	Eleanor Roosevelt
पारासेल्सस्	Paracelsus
भाक्राजलबन्धः	Bhakra-demningen
भारोत्तोलनक्रीडा	Vektløfting
मराठासाम्राज्यम्	Marathariket
जहाङ्गीरः	Jahangir
शाहजहानः	Shah Jahan
शिमला	Shimla
कार्ल् लाण्ड्स्टैनर्	Karl Landsteiner
शब्दमालिन्यम्	Støyforurensning
विलियं हार्वे	William Harvey
जिततैलम्	Olivenolje
पर्सी बिश शेली	Percy Bysshe Shelley
सूर्यकान्तितैलम्	Solsikkeolje
सारनमण्डलम्	Saran (distrikt)
दन्तेवाडामण्डलम्	Dantewada (distrikt)
सर् रोनाल्ड् रास्	Ronald Ross
बकमिन्स्टर फुलर	Richard Buckminster Fuller
आस्टन् फ्रान्सिस् विलियम्	Francis William Aston
जेर्मेन ग्रीर	Germaine Greer
लक मन्टेगेनियरः	Luc Montagnier
रविशङ्कर	Ravi Shankar
दन्तपाली	Tannkjøtt
वितली गिन्ज़बर्ग	Vitalij Ginzburg
सिमोन वान डर मीर	Simon van der Meer
अङ्गप्रत्यारोपणम्	Transplantasjon
युरोलोजी	Urologi
तक्रम्	Kjernemelk
शेल्डन ग्लास्हौ	Sheldon Lee Glashow
हरगोविन्द खुराना	Har Gobind Khorana
मध्यदेहलीमण्डलम्	Central Delhi (distrikt)
पूर्वदेहलीमण्डलम्	East Delhi (distrikt)
उत्तरगोवामण्डलम्	North Goa (distrikt)
दक्षिणगोवामण्डलम्	South Goa (distrikt)
लक्ष्यसाधनक्रीडा	Bueskyting
ए. आर्. रहमान्	A.R. Rahman
एड्वर्ड् क्याल्विन् केण्डल्	Edward Calvin Kendall
रमोन् मेग्सेसे	Ramón F. Magsaysay
चाओ फ्रया	Chao Phraya
एन	Anne av Storbritannia
ग्यास्त्रोएन्टेरोलोजी	Gastroenterologi
भीमसेन जोशी	Bhimsen Joshi
जडत्वम् (भौतविज्ञानम्)	Treghet
चार्ल्स २	Karl II av England
गोवाराज्यस्य मण्डलानि	Distrikter i Goa
केल्विन् विलियं थाम्सन् लार्ड्	William Thomson Kelvin
चार्ल्स एडुआर्ड गुइल्लौमे	Charles Édouard Guillaume
फ्रान्सिस् एच् सि क्रिक्	Francis Crick
हिमाचलप्रदेशस्य मण्डलानि	Distrikter i Himachal Pradesh
वस्त्रनिर्मलीकरणयन्त्रम्	Vaskemaskin
स्लम्डाग् मिलियनेर्	Slumdog Millionaire – Han som hadde svar på alt
जेम्स ७ (स्काटलैंड)	Jakob II av England
स्टीव् इर्विन्	Steve Irwin
मङ्गळूरु	Mangalore
अल्बर्ट ए मिकेल्सन	Albert Abraham Michelson
जार्ज ३	Georg III av Storbritannia
सन्तरविदासनगरमण्डलम्	Sant Ravidas Nagar (distrikt)
आर्थर एच काम्पटन	Arthur Holly Compton
गतिविज्ञानम्	Dynamikk (mekanikk)
ट्रिनिडाड	Trinidad
इन्द्रः	Indra
पुनर्जन्म	Reinkarnasjon
माइकल ओवेन	Michael Owen
पॉल पोग्बा	Paul Pogba
भारतस्य विभजनम्	Delingen av Britisk India
मिथुनराशिः	Tvillingene (stjernetegn)
अन्नगन्धिः	Dysenteri
जाह्न (इंगलैंड)	Johan av England
ऊरुः	Lår
भारतस्य प्रथमस्वातन्त्र्यसङ्ग्रामः	Det indiske opprøret i 1857
विलियम ३ (इंगलैंड)	Vilhelm III av England
जार्ज ४	Georg IV av Storbritannia
जार्ज १	Georg I av Storbritannia
मेरी २	Maria II av England
विलियम ४	Vilhelm IV av Storbritannia
रोबर्ट ए मिल्लिकन्	Robert Andrews Millikan
वायुमालिन्यम्	Luftforurensning
ली क्वान यु	Lee Kuan Yew
वर्तुलकम्	Hestebønne
मेरी १ (स्काटलैंड)	Maria I av Skottland
लक्ष्मीः	Lakshmi
मन्त्रः	Mantra
भारतस्य राज्यानि	Indias delstater og territorier
हेनरी ५	Henrik V av England
विलियम लारेन्स ब्राग	William Lawrence Bragg
क्यावेण्डिष् हेन्रि	Henry Cavendish
औपसर्गिकव्याधिः	Infeksjonssykdom
जार्ज २	Georg II av Storbritannia
काली	Kali
सानिया मिर्ज़ा	Sania Mirza
भारतीयपर्वाणि	Festival
आयुर्वेदः	Ayurveda
अमर्त्य सेन	Amartya Sen
जीरकम्	Spisskummen
यमुनानदी	Yamuna
रिचर्ड ३	Rikard III av England
भारतस्य इतिहासः	Indias historie
मेथिका	Bukkehornkløver
लेव लाण्डौ	Lev Landau
पृष्ठभागः	Rygg (anatomi)
विलियम हेन्री ब्राग	William Henry Bragg
जार्ज पेजेट थामसन	George Paget Thomson
आकस्मिक चिकित्सा	Førstehjelp
कन्याराशिः	Jomfruen (stjernetegn)
जां बाप्टिस्टे पेरिन	Jean Baptiste Perrin
पोलोक्रीडा	Polo
धर्मः	Dharma
तुलाराशिः	Vekten (stjernetegn)
वृश्चिकराशिः	Skorpionen (stjernetegn)
भौतिकी तुला	Vekt
जेम्स ५	Jakob V av Skottland
जेम्स ४	Jakob IV av Skottland
प्रिन्‍सटन	Princeton
पाणिपत्	Panipat
ग्रहणम्	Formørkelse
जाकिर हुसैन	Zakir Husain
राजशिम्बी	Belgfrukt
कन्दशाकम्	Knutekål
बहुनेत्रफलम्	Ananas
सिद्धपेयम्	Brus
शिरोमणि अकालीदलम्	Shiromani Akali Dal
सुब्रह्मण्यन् चन्द्रशेखरः	Subramanyan Chandrasekhar
रजनीशः	Osho
मध्यप्रदेशस्य मण्डलानि	Distrikter i Madhya Pradesh
कबड्डिक्रीडा	Kabaddi
नागरङ्गफलम्	Cedrat
डेविड दे हेया	David de Gea
जार्ज् कार्लिन्	George Carlin
चोळवंशः	Chola-dynastiet
चर्मकारः	Skomaker
एडवार्ड् वी एप्पलटन्	Edward Victor Appleton
कोला	Kola (by)
नार्मन् बोर्लाग्	Norman Ernest Borlaug
इगोर वाइ टाम	Igor Tamm
राबर्ट् ब्रौन्	Robert Brown
जोसेफ् लिस्टर्	Joseph Lister
मासातोशी कोशिबा	Masatoshi Koshiba
हिदेकी युकावा	Hideki Yukawa
लुइ नील	Louis Néel
डेनिस गाबोर	Dennis Gabor
यूजीन विग्नर	Eugene Wigner
हान्स बेथे	Hans Bethe
एरण्डसस्यम्	Ricinus
आजाद हिन्द फौज्	Indian National Army
काकमाची	Belladonnaurt
तक्षशिलाविश्वविद्यालयः	Taxila
जे. बि. एस्. हाल्डेन्	John Burdon Sanderson Haldane
लता मङ्गेशकरः	Lata Mangeshkar
सर्वपल्ली राधाकृष्णन्	Sarvepalli Radhakrishnan
काफीसस्यम्	Kaffeplanter
लकुचम्	Morbærfamilien
साम्युयेल् हानिमन्	Samuel Hahnemann
ग्वालियर	Gwalior
दीपिका पडुकोणे	Deepika Padukone
सिंहराशिः	Løven (stjernetegn)
ह्यूगो द व्रीस्	Hugo de Vries
रामः	Rama
हेनरी ६	Henrik VI av England
एडवर्ड ४	Edvard IV av England
थियोफ्रास्टस्	Theofrastos
पारसीकयवानी	Bulmeurt
कर्कटराशिः	Krepsen (stjernetegn)
एडवार्ड गिबन	Edward Gibbon
हेनरी ४	Henrik IV av England
कुम्भराशिः	Vannmannen (stjernetegn)
स्पन्दमापिनी	Stetoskop
जेन	Lady Jane Grey
प्रयागः	Allahabad
ओन्कोलोजी	Onkologi
सी टी आर विल्सन	Charles Thomson Rees Wilson
सोनिया गान्धी	Sonia Gandhi
विलियम शाक्ली	William Shockley
निमेन्या विडिच	Nemanja Vidić
द डार्क् नैट्	The Dark Knight
वृषभराशिः	Tyren (stjernetegn)
मकरराशिः	Steinbukken (stjernetegn)
साङ्ख्यदर्शनम्	Samkhya
हरितगृहम्	Drivhus
मरीचिका (शाकम्)	Paprikaslekta
चित्रदुर्गमण्डलम्	Chitradurga (distrikt)
पालङ्कः	Rødbete
उन्नतकूर्दनम्	Høydehopp
स्टार् वार्स्:दि फ़ांटम् मेनस्	Star Wars Episode I: Den skjulte trussel
परावर्तनम् (भौतविज्ञानम्)	Refleksjon (fysikk)
इसिडोर ऐजक रबि	Isidor Isaac Rabi
बैटमेन बिगिंस्	Batman Begins
मध्यमा	Langfinger
विजयनगरसाम्राज्यम्	Vijayanagarariket
तिरुवनन्तपुरम्	Thiruvananthapuram
गुल्फः	Ankelledd
कार्ल् डी एन्डरसन्	Carl David Anderson
धूमनीहारः	Smog
दार्जिलिङ्ग	Darjeeling
श्रीनगरम्	Srinagar
डिमीटार बरबाटोव	Dimitar Berbatov
आण्ड्रियेस् वेसेलियस्	Andreas Vesalius
ओलम्पिक् ज्वाला	Den olympiske ild
अगर्तला	Agartala
निम्बः	Neem
एडवर्ड ५	Edvard V av England
पार्वती	Parvati
प्रलम्बकूर्दनम्	Lengdehopp
जानुवातः सन्धिवातश्च	Artritt
रोबर्ट वूड्रो विल्सन	Robert Woodrow Wilson
मृदुकन्दुक-क्रीडा	Softball
शतद्रुनदी	Sutlej
भुवनेश्वरम्	Bhubaneswar
रक्तदुर्गम् (आग्रा)	Agra fort
भारतस्य राष्ट्रियचिह्नम्	Indias riksvåpen
जार्ज् क्युव्ये	Georges Cuvier
पर्सी ब्रिजमन	Percy Williams Bridgman
स्टीवन चू	Steven Chu
डैरेन फ्लेचर	Darren Fletcher
मरे गेलमन	Murray Gell-Mann
प्योट्र कापिट्सा	Pjotr Kapitsa
एमिलियो गीनो सेग्रे	Emilio Segrè
कनीनिका	Pupill
मनोरञ्जनं	Underholdning
प्रेमचन्दः	Munshi Premchand
हिब्रूविश्वविद्यालयः (येरुशलम्)	Det hebraiske universitetet i Jerusalem
अंटोनियो वालेंसिया	Luis Antonio Valencia
पार्ष्णिः	Hæl
रेमन्ड डेविस जुनियर	Raymond Davis jr.
थामस् हण्ट् मार्गन्	Thomas Hunt Morgan
गाब्रियोलो फालोपियस्	Gabriele Falloppio
सेसिल पावेल	Cecil Powell
लुइ अल्वारेज़	Luis Alvarez
अन्ताराष्ट्रियः व्यापारः	Internasjonal handel
खण्डकाव्यानि	Ode
फतेह्-पुर्-सिक्री	Fatehpur Sikri
डा. जयन्त नारळीकर	Jayant Narlikar
जिद्दु कृष्णमूर्ति	Jiddu Krishnamurti
स्टीवन वैनबर्ग	Steven Weinberg
जोर्ज एफ स्मूट	George F. Smoot
लीयो एसाकी	Leo Esaki
पुनर्गमनवाद	Rekursjon
आदिशङ्कराचार्यः	Adi Shankara
स्टार् वार्स्:अटाक् आफ़् दि क्लोन्स्	Star Wars Episode II: Klonene angriper
साञ्चीस्तूपः	Sanchi
ब्रायन जोसेफसन	Brian David Josephson
चेन निंग यांग	Chen Ning Yang
महाथिर मोहमद	Mahathir bin Mohamad
तन्त्रशास्त्रम्	Tantra
कर्पूरम्	Kamfer
अगस्टा, जार्जिया	Augusta (Georgia)
प्लास्टिक शल्यचिकित्सा	Kosmetisk kirurgi
अलङ्काराः	Figur (retorikk)
आडुबान् जान् जेम्स्	John James Audubon
रेखिचिकित्सा	Reiki
श्रीरामकृष्णपरमहंसः	Ramakrishna
जलमालिन्यम्	Vannforurensning
मोक्षः	Moksha
जीवविकासवादः	Darwinisme
ॐ	Om
थामस् हेन्रि हक्स्लि	Thomas Huxley
अजन्तागुहाः	Ajantahulene
पेट्रिक एम एस ब्लाकेट	Patrick Maynard Stuart Blackett
सिन-इतिरो तोमोनागा	Sin-Itiro Tomonaga
चार्ल्स् एच् टाउन्स्	Charles Hard Townes
गेरार्डस 'टी हूफ्ट	Gerardus 't Hooft
मारीस् एच् विल्किन्स्	Maurice Wilkins
