अफ्रीका	Afrika
सन् १५०१	1501
सन् १५०२	1502
सन् १५०३	1503
१४०९	1409
सन् १५०४	1504
सन् १५०७	1507
सन् १५०८	1508
सन् १५०९	1509
सन् १५१०	1510
साम्यवाद	Kommunisme
सन् १५११	1511
सन् १५१२	1512
सन् १५१३	1513
सन् १५१४	1514
सन् १५१६	1516
पश्चिमी सहारा	Vest-Sahara
सन् १५१७	1517
सन् १५२१	1521
हिलरी रडम क्लिन्टन	Hillary Clinton
सन् १५२२	1522
सन् १५२३	1523
सन् १५२४	1524
सन् १५२६	1526
सन् १४३१	1431
वेब ब्राउजर	Nettleser
सन् १४३७	1437
सन् १४३८	1438
पौडी	Svømming
सन् १५२७	1527
सन् १५२८	1528
सन् १३९८	1398
सन् १४४३	1443
सन् १४४४	1444
सन् १५२९	1529
सन् १३९९	1399
सन् १५३०	1530
सन् १५३१	1531
सन् १५३२	1532
सन् १५३३	1533
सन् १५३४	1534
सन् १५३५	1535
सन् १५३६	1536
सन् १५३७	1537
सन् १४५३	1453
सन् १५३८	1538
सन् १५३९	1539
सन् १५४०	1540
सन् १५४१	1541
सन् १४५६	1456
सन् १४५७	1457
सन् १५४२	1542
सन् १५४३	1543
सन् १५४४	1544
सन् १५४५	1545
सन् १५४६	1546
सन् १५४७	1547
सन् १५४८	1548
सन् १५४९	1549
सन् १५५०	1550
सन् १४६६	1466
सन् १५५१	1551
सन् १४६७	1467
सन् १५५२	1552
सन् १४६९	1469
सन् १५५३	1553
सन् १४७०	1470
सन् १५५४	1554
सन् १५५५	1555
सहारा मरुभूमि	Sahara
सन् १५५६	1556
सन् १५५७	1557
सन् १४७४	1474
सन् १५५८	1558
सन् १४७५	1475
सन् १५५९	1559
सन् १४७६	1476
सन् १५६०	1560
सन् १४७७	1477
सन् १४७८	1478
सन् १५६१	1561
सन् १४७९	1479
सन् १५६२	1562
सन् १५६३	1563
सन् १५६४	1564
सन् १५६५	1565
समलैङ्गिकता	Homofili
सन् १५६६	1566
सन् १४८४	1484
पोखरा उपमहानगरपालिका	Pokhara
सन् १५६७	1567
सन् १४८५	1485
सन् १४८६	1486
ललितपुर उपमहानगरपालिका	Patan
सन् १५६८	1568
सन् १४८७	1487
सन् १५६९	1569
सन् १५७०	1570
ह्यामबर्गर	Hamburger
सन् १४८९	1489
सन् १५७१	1571
सन् १४९०	1490
सन् १५७२	1572
सन् १५७३	1573
सन् १४९२	1492
सन् १५७४	1574
सन् १५७५	1575
सन् १५७६	1576
सन् १४९७	1497
सन् १५७७	1577
सन् १४९८	1498
सन् १५७८	1578
सन् १४९९	1499
सन् १५७९	1579
सन् १५८०	1580
सन् १५८१	1581
क्वार्क	Kvark
सन् १५८२	1582
सन् १६००	1600
सन् १६०१	1601
सन् १५८३	1583
सन् १६०२	1602
सन् १५८४	1584
अप क्वार्क	Oppkvark
सन् १६०३	1603
सन् १५८५	1585
सन् १६०४	1604
सन् १५८६	1586
सन् १६०५	1605
सन् १५८७	1587
सन् १६०६	1606
सन् १६०७	1607
सन् १५८८	1588
सन् १६०८	1608
सन् १५८९	1589
सन् १६०९	1609
सन् १५९०	1590
सन् १६१०	1610
सन् १५९१	1591
सन् १६११	1611
सन् १५९२	1592
सन् १६१२	1612
सन् १५९३	1593
सन् १६१३	1613
सन् १५९४	1594
सन् १६१४	1614
सन् १५९५	1595
सन् १६१५	1615
सन् १५९६	1596
सन् १६१६	1616
सन् १५९७	1597
सन् १६१७	1617
सन् १५९८	1598
सन् १५९९	1599
सन् १६२१	1621
सन् १७००	1700
सन् १७०१	1701
सन् १६२२	1622
सन् १६२३	1623
सन् १७०२	1702
सन् १६२४	1624
सन् १७०३	1703
सन् १७०४	1704
सन् १६२५	1625
सन् १७०५	1705
सन् १६२६	1626
सन् १६२७	1627
सन् १६२८	1628
सन् १७०७	1707
सन् १७०८	1708
सन् १६२९	1629
सन् १६३०	1630
सन् १७०९	1709
सन् १६३१	1631
सन् १७१०	1710
सन् १६३२	1632
सन् १७११	1711
अन्तर्राष्ट्रिय खगोलीय संघ	Den internasjonale astronomiske union
सन् १६३३	1633
सन् १७१२	1712
सन् १६३४	1634
सन् १७१३	1713
सन् १८००	1800
सन् १८०१	1801
सन् १७१४	1714
सन् १६३५	1635
सन् १८०२	1802
सन् १७१५	1715
सन् १६३६	1636
सन् १८०३	1803
सन् १६३७	1637
UTC+०५:४५	UTC+05.45
सन् १६३८	1638
सन् १८०४	1804
सन् १७१७	1717
सन् १६३९	1639
सन् १८०५	1805
सन् १६४०	1640
सन् १८०६	1806
सन् १६४१	1641
सन् १८०७	1807
सन् १६४२	1642
सन् १७२१	1721
सन् १८०८	1808
सन् १६४३	1643
सन् १७२२	1722
सन् १८०९	1809
सन् १६४४	1644
सन् १७२३	1723
सन् १८१०	1810
सन् १६४५	1645
सन् १७२४	1724
सन् १८११	1811
सन् १६४६	1646
सन् १७२५	1725
सन् १८१२	1812
सन् १६४७	1647
सन् १७२६	1726
सन् १८१३	1813
सन् १६४८	1648
सन् १७२७	1727
सन् १८१४	1814
सन् १६४९	1649
सन् १७२८	1728
सन् १८१५	1815
सन् १६५०	1650
सन् १७२९	1729
सन् १८१६	1816
सन् १६५१	1651
सन् १७३०	1730
सन् १८१७	1817
सन् १६५२	1652
सन् १७३१	1731
सन् १८१८	1818
सन् १६५३	1653
सन् १७३२	1732
सन् १६५४	1654
सन् १७३३	1733
सन् १६५५	1655
सन् १८२१	1821
सन् १७३४	1734
सन् १६५६	1656
सन् १८२२	1822
सन् १७३५	1735
सन् १६५७	1657
सन् १८२३	1823
सन् १७३६	1736
सन् १६५८	1658
सन् १७३७	1737
सन् १८२४	1824
सन् १६५९	1659
सन् १७३८	1738
सन् १८२५	1825
सन् १६६०	1660
सन् १७३९	1739
सन् १८२६	1826
सन् १६६१	1661
सन् १७४०	1740
सन् १८२७	1827
कालिदास	Kālidāsa
श्रेणी:ताराहरू	Kategori:Stjerner
नास्तिकता	Ateisme
पुस्तकालय	Bibliotek
एफसी बार्सिलोना	FC Barcelona
आनुवांशिकता	Genetikk
राजनीति	Politikk
विश्व बैंक	Verdensbanken
लोकतन्त्र	Demokrati
मारिया क्युरी	Marie Curie
जीन	Gen
सरकार	Regjering
नोबेल पुरस्कार	Nobelprisen
अलेक्जान्डर पुस्किन	Aleksandr Pusjkin
रोगशास्त्र	Patologi
हान राजवंश	Han-dynastiet
रोजा लुक्सम्बर्ग	Rosa Luxemburg
रवीन्द्रनाथ टेगोर	Rabindranath Tagore
नारीवाद	Feminisme
एडा लभलेस	Ada Byron Lovelace
साम्राज्यवाद	Imperialisme
गणतन्त्र	Republikk
समाजवाद	Sosialisme
किलिमान्जारो	Kilimanjaro
चुम्बन	Kyss
नाजीवाद	Nasjonalsosialisme
ज्याक कार्टिअर	Jacques Cartier
क्रिस्टोफर कोलम्बस	Christofer Columbus
हर्नान कोर्टस	Hernán Cortés
युरी गागरिन	Jurij Gagarin
भास्को दा गामा	Vasco da Gama
डान ब्राउन	Dan Brown
विशाल ताल	De store sjøer
पानामा नहर	Panamakanalen
अन्टार्क्टिक महासागर	Sørishavet
ह्वांगहो	Den gule flod
कान	Øre
आँखा	Øye
भेडा	Tamsau
उँट	Kameler
स्तनधारी प्राणी	Pattedyr
हात्ती	Elefanter
कमिला	Maur
मौरी	Bier
मार्गरेट थ्याचर	Margaret Thatcher
डी एन ए	DNA
सु गार्डनर	Sue Gardner
लाम्चो फर्सी	Squash (frukt)
काउली	Blomkål
भान्टा	Aubergine
आमा	Mor
हिउँ	Snø
बुवा	Far
सन् १८२८	1828
सन् १८२९	1829
सन् १७४१	1741
सन् १६६२	1662
सन् १७४२	1742
सन् १८३०	1830
सन् १६६३	1663
सन् १८३१	1831
सन् १७४३	1743
सन् १६६४	1664
सन् १६६५	1665
सन् १७४४	1744
सन् १८३२	1832
सन् १६६६	1666
सन् १७४५	1745
सन् १८३३	1833
सन् १६६७	1667
सन् १७४६	1746
सन् १८३४	1834
डेबियन	Debian
सन् १६६८	1668
सन् १७४७	1747
सन् १८३५	1835
सन् १७४८	1748
सन् १८३६	1836
सन् १६६९	1669
सन् १६७०	1670
सन् १७४९	1749
सन् १८३७	1837
सन् १६७१	1671
सन् १७५०	1750
सन् १८३८	1838
सन् १६७२	1672
सन् १७५१	1751
सन् १८३९	1839
सन् १६७३	1673
सन् १७५२	1752
सन् १८४०	1840
सन् १६७४	1674
सन् १७५३	1753
सन् १८४१	1841
सन् १७५४	1754
सन् १६७५	1675
सन् १८४२	1842
सन् १७५५	1755
सन् १६७६	1676
सन् १८४३	1843
सन् १६७७	1677
सन् १७५६	1756
सन् १८४४	1844
सन् १६७८	1678
सन् १७५७	1757
सन् १८४५	1845
सन् १६७९	1679
सन् १७५८	1758
सन् १८४६	1846
सन् १६८०	1680
सन् १७५९	1759
सन् १८४७	1847
सन् १६८१	1681
सन् १७६०	1760
सन् १८४८	1848
सन् १६८२	1682
सन् १७६१	1761
सन् १८४९	1849
सन् १६८३	1683
सन् १७६२	1762
सन् १८५०	1850
सन् १६८४	1684
सन् १७६३	1763
सन् १८५१	1851
सन् १७६४	1764
सन् १६८५	1685
सन् १८५२	1852
सन् १६८६	1686
सन् १७६५	1765
सन् १८५३	1853
सन् १६८७	1687
सन् १७६६	1766
सन् १८५४	1854
सन् १६८८	1688
सन् १७६७	1767
सन् १८५५	1855
सन् १६८९	1689
सन् १७६८	1768
सन् १८५६	1856
सन् १६९०	1690
सन् १७६९	1769
सन् १८५७	1857
सन् १६९१	1691
सन् १७७०	1770
सन् १८५८	1858
सन् १६९२	1692
सन् १७७१	1771
सन् १८५९	1859
सन् १६९३	1693
सन् १७७२	1772
सन् १८६०	1860
सन् १७७३	1773
सन् १८६१	1861
सन् १६९४	1694
सन् १६९५	1695
सन् १७७४	1774
सन् १८६२	1862
सन् १६९६	1696
सन् १७७५	1775
सन् १८६३	1863
सन् १६९७	1697
सन् १७७६	1776
सन् १८६४	1864
सन् १६९८	1698
सन् १८६५	1865
सन् १७७७	1777
सन् १६९९	1699
सन् १८६६	1866
सन् १७७८	1778
सन् १७७९	1779
सन् १८६७	1867
सन् १७८०	1780
सन् १८६८	1868
सन् १७८१	1781
सन् १८६९	1869
नेपोलियन तृतीय	Napoleon III av Frankrike
रूसी भाषा	Russisk
सन् १७८२	1782
सन् १८७०	1870
सन् १७८३	1783
सन् १८७१	1871
भ्लादिमिर पुटिन	Vladimir Putin
सन् १७८४	1784
सन् १८७२	1872
संविधान	Konstitusjon
सन् १७८५	1785
सन् १८७३	1873
सन् १७८६	1786
सन् १८७४	1874
सन् १७८७	1787
सन् १८७५	1875
सन् १७८८	1788
सन् १८७६	1876
सन् १७८९	1789
सन् १८७७	1877
सन् १७९०	1790
सन् १८७८	1878
सन् १८७९	1879
सन् १७९१	1791
यूरोपको इतिहास	Europas historie
अन्तर्राष्ट्रिय न्यायालय	Den internasjonale domstolen
अन्तर्राष्ट्रीय आर्थिक कोष	Det internasjonale pengefondet
सन् १७९२	1792
सन् १८८०	1880
सन् १७९३	1793
सन् १८८१	1881
युनेस्को	UNESCO
होमर सिम्प्सन	Homer Simpson
सन् १७९४	1794
सन् १८८२	1882
मानव अधिकार सम्बन्धी विश्वव्यापी घोषणा पत्र १९४८	Menneskerettighetserklæringen
सन् १७९५	1795
सन् १८८३	1883
विश्व स्वास्थ्य संगठन	Verdens helseorganisasjon
सन् १७९६	1796
सन् १८८४	1884
सन् १७९७	1797
सन् १८८५	1885
सन् १८८६	1886
सन् १७९८	1798
विश्व व्यापार संगठन	Verdens handelsorganisasjon
सन् १८८७	1887
सन् १७९९	1799
सन् १८८८	1888
सन् १८८९	1889
सन् १८९०	1890
सन् १८९१	1891
सन् १८९२	1892
सन् १८९३	1893
सन् १८९४	1894
सन् १८९५	1895
सन् १८९६	1896
सन् १८९७	1897
सन् १८९८	1898
चीनियाँ भाषा	Kinesisk
सन् १८९९	1899
शौचालय	Toalett
मनोरोग विज्ञान	Psykiatri
कोशिका	Celle
रगत	Blod
फोक्सो	Lunge
श्वासप्रस्वास प्रणाली	Åndedrettssystemet
पिउने पानी	Drikkevann
शिक्षण विधि	Pedagogikk
वर्षा	Regn
हिम पहिरो	Snøskred
भूमण्डलीय उष्मीकरण	Global oppvarming
भुँइचालो	Jordskjelv
खनिज	Mineral
माउस	Datamus
प्राकृतिक विज्ञान	Naturvitenskap
विन्स्टन चर्चिल	Winston Churchill
नेल्सन मन्डेला	Nelson Mandela
मार्टिन लूथर किंग(जुनियर)	Martin Luther King jr.
प्रोटिन	Protein
बाढी	Flom
सुनामी	Tsunami
ज्वालामुखी	Vulkan
बादल	Sky
भूमरी	Tornado
ज्यामिति	Geometri
व्याकरण	Grammatikk
उष्णदेशीय चक्रवात	Tropisk syklon
तेलगु भाषा	Telugu
वायुमण्डल	Atmosfære
अर्थशास्त्र	Samfunnsøkonomi
उद्योग	Industri
भाषाविज्ञान	Lingvistikk
लिपि	Skriftsystem
रोमन लिपि	Det latinske alfabetet
साक्षरता	Lesekyndighet
साहित्य	Litteratur
विराटनगर उपमहानगरपालिका	Biratnagar
बीरगञ्ज उपमहानगरपालिका	Birganj
धरान उपमहानगरपालिका	Dharan
श्रेणी:संगीत	Kategori:Musikk
श्रेणी:साहित्य	Kategori:Litteratur
उपन्यास	Roman
महाभारत	Mahabharata
दुईदलीय वनस्पति	Tofrøbladede planter
रातो फ्याउरो	Rødrev
फेडेरल व्यूरो अफ इन्भेस्टिगेशन	Federal Bureau of Investigation
ह्यारी पोटर	Harry Potter
अल्गोरिदम	Algoritme
हस्तमैथुन	Onani
गुदा मैथुन	Analsex
अलेक्जेन्डर द ग्रेट	Aleksander den store
शिक्षा	Utdannelse
ह्युगो चाभेज	Hugo Chávez
ओट्टो बिस्मार्क	Otto von Bismarck
विवाह	Ekteskap
कर्ट कोबेन	Kurt Cobain
गर्भपतन	Abort
मानव अधिकार	Menneskerettigheter
पीटर महान	Peter I av Russland
कफी	Kaffe
दूध	Melk
पहाड	Fjell
मरुभूमि	Ørken
सन यात सेन	Sun Yat-sen
श्रोडिङ्गर्विडाल	Schrödingers katt
सम्राट अशोक	Ashoka den store
अकबर	Akbar den store
पिएरी ट्रुडो	Pierre Trudeau
हङकङ	Hongkong
कराची	Karachi
कोरियाई युद्ध	Koreakrigen
रियो दी जेनेरियो	Rio de Janeiro
रियल म्याड्रिड	Real Madrid CF
शाङ्घाई	Shanghai
चीनको सांस्कृतिक क्रान्ति	Kulturrevolusjonen
वाल्ट डिज्नी	Walt Disney
आर्किमिडिज	Arkimedes
थोमस एल्वा एडिसन	Thomas Edison
माइकल फराडे	Michael Faraday
हेनरी फोर्ड	Henry Ford
अर्मेनियाली भाषा	Armensk
एच.टी.एम.एल.	HTML
युनिकोड	Unicode
सत्यजित राय	Satyajit Ray
हंस तारामंडल	Svanen
तारामण्डल	Stjernebilde
जोन गुटेन्बर्ग	Johann Gutenberg
जेम्स प्रेस्कट जुल	James Prescott Joule
निकोला टेस्ला	Nikola Tesla
जेम्स वाट	James Watt
चाणक्य	Chanakya
चेक भाषा	Tsjekkisk
कार्ल मार्क्स	Karl Marx
हिन्दू धर्म	Hinduisme
होसे मुहीका	José Mujica
जेम्स क्लर्क माक्सवेल	James Clerk Maxwell
स्तन	Bryst
अणु	Atom
प्रकाश	Lys
ताजमहल	Taj Mahal
कम्प्युटर भाषा	Programmeringsspråk
इमेल	E-post
आत्मा	Sjel
फारसी भाषा	Persisk
धर्म	Religion
जैन धर्म	Jainisme
जर्ज विल्हेम फ्रेडरिक् हिगल	Georg Wilhelm Friedrich Hegel
इण्डोनेशियाई भाषा	Indonesisk
देवयानी तारामण्डल	Andromeda (stjernebilde)
विश्व सम्पदा क्षेत्र	Verdensarven
सलाद	Salat (mat)
यहुदी धर्म	Jødedom
थिम्पू	Thimpu
बन्दर सेरी बेगवान	Bandar Seri Begawan
इमानुएल क्यान्ट	Immanuel Kant
लुफ्थान्सा	Lufthansa
लाओत्से	Laozi
जीमेल	Gmail
माले	Malé
योग	Yoga
फ्रेडरिक नीत्शे	Friedrich Nietzsche
एडम स्मिथ	Adam Smith
अण्डकोष	Testikkel
मनोविज्ञान	Psykologi
वर्द्धमान महावीर	Mahavira
महारानी भिक्टोरिया	Victoria av Storbritannia
गौतम बुद्ध	Buddha
प्रिमियर लिग	Premier League
नैतिकता	Etikk
प्रमाणशास्त्र	Erkjennelsesteori
मुक्त कर्म	Fri vilje
लोखर्के	Ekornfamilien
सचिन तेन्दुलकर	Sachin Tendulkar
वास्तविकता	Virkelighet
अब्दुल कलाम	Abdul Kalam
बिबिसी	BBC
शाहरूख खान	Shah Rukh Khan
सलमान खान	Salman Khan
टोनी ब्लेयर	Tony Blair
क्याटरिना कैफ	Katrina Kaif
मार्टिन लूथर	Martin Luther
आमिर खान	Aamir Khan
जोन मेजर	John Major
अमिताभ बच्चन	Amitabh Bachchan
जेम्स क्यालेगन	James Callaghan
रोमन क्याथोलिक चर्च	Den katolske kirke
त्रिमूर्ति	Trimurti
पेट	Abdomen
ताओ धर्म	Taoisme
शिरा	Vene
बङ्गाली भाषा	Bengali
पाठेघर	Livmor
अग्न्याशय	Bukspyttkjertel
प्रोस्टेट	Prostata
डिम्बाशय	Eggstokk
फकल्याण्ड टापु	Falklandsøyene
एलिजाबेथ दोश्रो	Elisabeth II av Storbritannia
युवराज्ञी डायना	Diana, prinsessen av Wales
भारतीय शास्त्रीय संगीत	Klassisk musikk
अक्षर	Bokstav
सेलम	Salem (India)
कोयंबतूर	Coimbatore
मिंग राजवंश	Ming-dynastiet
फ्यान्टा	Fanta
राहुल गान्धी	Rahul Gandhi
भारतीय जनता पार्टी	Bharatiya Janata Party
होली	Holi
दशैं	Vijayadasami
कोलोसियम	Colosseum
हृदयशास्त्र	Kardiologi
कराइना तारामण्डल	Kjølen (stjernebilde)
डेभिड बेक्ह्याम	David Beckham
गर्डन ब्राउन	Gordon Brown
आवर्त सारणी	Periodesystemet
आत्महत्या	Selvmord
ड्वेन जोनसन ‘रक’	Dwayne Johnson
सुँगुर	Svin og griser
सरीसृप	Krypdyr
यौन खेलौना	Sexhjelpemidler
ढुकुर	Duer
अन्धोपन	Blindhet
जीवाणु	Bakterier
रूख	Tre
क्रान्ति	Revolusjon
अङ्गूर	Druer
मह	Honning
मासु	Kjøtt
टाइगर वुड्स	Tiger Woods
आलु	Potet
भटमास	Soyabønne
रोबोट	Robot
प्रविधि	Teknologi
इन्जिनियरिङ	Ingeniørvitenskap
सञ्चार	Kommunikasjon
सूचना	Informasjon
पत्रकारिता	Journalistikk
समाचार पत्र	Avis
टेलिफोन	Telefon
द रोलिङ्ग स्टोन्स	The Rolling Stones
संस्कृति	Kultur
संस्कृत	Sanskrit
अल्जाइमर	Alzheimers sykdom
पार्किनसन	Parkinsons sykdom
विधायिका	Lovgivende makt
अंकगणित	Aritmetikk
विन्डोज ७	Windows 7
प्रतिशत	Prosent
फिडेल कास्ट्रो	Fidel Castro
माइक्रोसफ्ट एक्सल	Microsoft Office Excel
रसायनिक तत्व	Grunnstoff
कोण	Vinkel
कार्बोहाइड्रेट	Karbohydrat
आर्यभट	Aryabhata
हर्मोन	Hormon
युनिक्स	Unix
इन्टरनेट सेवा प्रदायक	Internettleverandør
प्रवेग	Akselerasjon
शिव	Shiva
ऊर्जा	Energi
विष्णु	Vishnu
विद्युतचुम्बकीय विकिरण	Elektromagnetisk stråling
ब्रह्मा	Brahma
रक संगीत	Rock
बल	Kraft
चुम्बकीय क्षेत्र	Magnetfelt
गुरुत्व बल	Tyngdekraft
जुडो	Judo
चुम्बक	Magnet
खेलौना	Leketøy
पिण्ड	Masse
चलचित्र	Film
धातु	Metall
नाभिकीय विखण्डन	Kjernefysisk fisjon
ग्यास	Gass
तरल	Væske
ठोस	Faststoff
साईकल	Sykkel
पानी जहाज	Skip
कृषि	Landbruk
कपास	Bomull
सेरेना विलियम्स	Serena Williams
ध्वनि	Lyd
हलो	Plog
गति	Hastighet
तापक्रम	Temperatur
समय	Tid
कागज	Papir
क्षेत्रफल	Areal
पाइथागोरस साध्य	Pythagoras’ læresetning
अंक	Tall
क्रिष्टियानो रोनाल्डो	Cristiano Ronaldo
मिटर	Meter
मकै	Mais
जौ	Bygg (korn)
केल्भिन	Kelvin
इकर क्यासिलास	Iker Casillas
नृत्य	Dans
निर्भाना	Nirvana (band)
इलेक्ट्रोनिक्स	Elektronikk
विद्युत धारा	Elektrisk strøm
डायोड	Diode
सूचना प्रविधि	Informasjons- og kommunikasjonsteknologi
मौसम	Vær (meteorologi)
मारिया सारापोभा	Marija Sjarapova
शेयर	Aksje
लाहोर	Lahore
सार्वभौम सम्पन्न राष्ट्रहरूको सूची	Liste over stater
पाषाण युग	Steinalderen
कांस्य युग	Bronsealderen
लौह युग	Jernalderen
भालु	Bjørnefamilien
जोन एडम्स	John Adams
थोमस जेफर्सन	Thomas Jefferson
जेम्स म्याडिसन	James Madison
जेम्स मुनरो	James Monroe
जोन क्विन्से एडम्स	John Quincy Adams
एन्ड्रयु ज्याक्सन	Andrew Jackson
मार्टिन भान बरेन	Martin Van Buren
राजकोट	Rajkot
जूनागढ	Junagadh
विलियम हेनरी ह्यारिसन	William Henry Harrison
जोन टेलर	John Tyler
जेम्स के. पोल्क	James Knox Polk
गन एन’ रोजेज	Guns N' Roses
ज्याचरी टेलर	Zachary Taylor
वदोदरा	Vadodara
माइकल बालाक	Michael Ballack
ब्रिट्नी स्पेयर्स	Britney Spears
पाचन प्रणाली	Fordøyelse
प्रकाश संश्लेषण	Fotosyntese
प्रजनन (पुनरुत्पादन)	Formering
गर्भावस्था	Svangerskap
सल्ला	Furuslekten
क्यान्सर	Kreft
हैजा	Kolera
राजा	Konge
तरवारबाजी	Fekting
गहुँ	Hveteslekten
रुघा खोकी	Forkjølelse
पात्रो	Kalender
बहिरोपना	Døvhet
मानसिक रोग	Psykisk lidelse
रोग	Sykdom
ग्रेगोरियन क्यालेण्डर	Gregoriansk kalender
स्वस्थ	Helse
औलो	Malaria
कुपोषण	Feilernæring
मोटोपन	Fedme
मित्र तारा	Alfa Centauri
एन्टिबायोटिक	Antibiotika
अगस्ति तारा	Canopus
न्युमोनिया	Lungebetennelse
एड्स	Aids
क्षयरोग	Tuberkulose
मधुमेह	Diabetes
ढाँचा:Location map Sweden	Mal:Kartposisjon Sverige
ढाँचा:Location map United Kingdom	Mal:Kartposisjon Storbritannia
ढाँचा:Location map Belgium	Mal:Kartposisjon Belgia
ढाँचा:Location map Italy	Mal:Kartposisjon Italia
ढाँचा:Location map Poland	Mal:Kartposisjon Polen
पुल	Bro
नहर	Kanal (farvann)
ढाँचा:Location map Croatia	Mal:Kartposisjon Kroatia
ढाँचा:Location map Bosnia	Mal:Kartposisjon Bosnia-Hercegovina
ढाँचा:Location map Greece	Mal:Kartposisjon Hellas
मिलार्ड फिलमोर	Millard Fillmore
फ्र्यांकलिन पार्स	Franklin Pierce
बाँध	Demning
जेम्स बुकानान	James Buchanan
ढाँचा:Location map Israel	Mal:Kartposisjon Israel
ढाँचा:Location map Jordan	Mal:Kartposisjon Jordan
ढाँचा:Location map Iraq	Mal:Kartposisjon Irak
ढाँचा:Location map Saudi Arabia	Mal:Kartposisjon Saudi-Arabia
ढाँचा:Location map Pakistan	Mal:Kartposisjon Pakistan
ढाँचा:Location map India	Mal:Kartposisjon India
ढाँचा:Location map नेपाल	Mal:Kartposisjon Nepal
ढाँचा:Location map Bangladesh	Mal:Kartposisjon Bangladesh
ढाँचा:Location map Japan	Mal:Kartposisjon Japan
ढाँचा:Location map Philippines	Mal:Kartposisjon Filippinene
ढाँचा:Location map Indonesia	Mal:Kartposisjon Indonesia
ढाँचा:Location map Australia	Mal:Kartposisjon Australia
ढाँचा:Location map New Zealand	Mal:Kartposisjon New Zealand
ढाँचा:Location map Colombia	Mal:Kartposisjon Colombia
मोना लिजा	Mona Lisa
ढाँचा:Location map Peru	Mal:Kartposisjon Peru
नाप	Måling
तथ्याङ्क	Statistikk
बुर्ज खलिफा	Burj Khalifa
चीनको विशाल पर्खाल	Den kinesiske mur
ह्यागिया सोफिया	Hagia Sofia
भर्याङ्ग	Trapp
ल्याटिन अमेरिका	Latin-Amerika
कुल घरेलु उत्पादन	Bruttonasjonalprodukt
बेडेन पावेल	Robert Baden-Powell
जाँ जोर	Jean Jaurès
नविकरणीय उर्जा	Fornybar energi
म्याक्सिम गोर्की	Maksim Gorkij
जीवावशेष ऊर्जा	Fossilt brensel
वाष्प इन्जिन	Dampmaskin
परमाणु बम	Kjernefysiske våpen
बारूद	Krutt
विस्फोटक	Sprengstoff
पाउलो कोहेल्हो	Paulo Coelho
पेले	Pelé
वास्तविक सङ्ख्या	Reelt tall
स्वाति तारा	Arcturus
प्रस्वा तारा	Procyon
नाभिकीय संलयन	Kjernefysisk fusjon
मिसेल ओबामा	Michelle Obama
वर्डप्रेस	WordPress
जूमला	Joomla!
कालो ऐँसेलु	Bjørnebær
लिची	Litchi
किसमिस	Rosin
नरिवल	Kokospalme
दारिम	Granateple
आरू	Fersken
ठेकीफल	Kiwi (frukt)
रोमानी	Romanes
सिन्हाला भाषा	Singalesisk
केक	Kake
दही	Yoghurt
डेबिट कार्ड	Debetkort
ढाँचा:Location map Canada	Mal:Kartposisjon Canada
ढाँचा:Location map Mexico	Mal:Kartposisjon Mexico
ढाँचा:Location map Earth	Mal:Kartposisjon Verden
ब्रेसियर	Brystholder
एन्जेलिना जोली	Angelina Jolie
अरबी भाषा	Arabisk
कण्डम	Kondom
खजुर	Palmer
विकिनी	Bikini (klesplagg)
प्रधानमन्त्री	Premierminister
इन्टरनेट शीर्षस्तर क्षेत्राधिकार	Toppnivådomene
सन माइक्रो सिस्टमस्	Sun Microsystems
सिसाकलम	Blyant
घर भँगेरा	Gråspurv
मकाउ	Macao
बगलिस	Skohorn
हु जिन्ताओ	Hu Jintao
सि जिनपिङ	Xi Jinping
जिराफ	Sjiraff
ओठ	Lepper
सोभियत संघ	Sovjetunionen
आदिलाबाद जिल्ला	Adilabad (distrikt)
द लर्ड अफ द रिङ्ग्स	Ringenes herre
नगरपालिका	Kommune
क्यामरा	Kamera
करीमनगर	Karimnagar (distrikt)
अंजा जिल्ला	Anjaw (distrikt)
लिल व्यान	Lil Wayne
सि	C (programmeringsspråk)
एचआइभी	HIV
पाइताला	Fot (kroppsdel)
छेपारो	Øgle
एमी वाइनहाउस	Amy Winehouse
मेटालिका	Metallica
क्यानी वेस्ट	Kanye West
शार्ल लुई मोन्टेस्क्ये	Charles Montesquieu
काँध	Skulder
ब्रुस ली	Bruce Lee
थाइरोइड	Skjoldkjertel
हाइपरथाइरोडिजम	Hyperthyreose
हाइपोथाइरोडिजम	Hypotyreose
विकिपीडिया:चौतारी	Wikipedia:Tinget
कमल	Lotusrot
भर्मांट	Vermont
सान होसे,क्यालिफोर्निया	San Jose
ह्युस्टन	Houston
जियाङ जेमिन	Jiang Zemin
वेन जियाबाओ	Wen Jiabao
ग्वाम	Guam
अमेरिकी सामोआ	Amerikansk Samoa
अस्पताल	Sykehus
गिर्जाघर	Kirke
ग्वाडलप	Guadeloupe
ओकल्याण्ड	Oakland
ब्याकस्ट्रीट ब्वाईज	Backstreet Boys
कार्लोस पुयोल	Carles Puyol
तिब्बत	Tibet
वृत	Sirkel
चौधौं दलाई लामा	Tenzin Gyatso
वैश्विक डाक संघ	Verdenspostforeningen
जावी हर्नान्डेज	Xavi Hernández
जेरार्ड पिके	Gerard Piqué
जोसे म्यानुअल पिन्टो	José Manuel Pinto
डिएगो म्याराडोना	Diego Maradona
मोबाइल फोन	Mobiltelefon
अस्ट्रिच	Struts
स्टिफन हकिङ	Stephen Hawking
अरागत्सोत्न प्रान्त	Aragatsotn
