Αφρική	Afrika
Πέτρα στα νεφρά	Nyrestein
Πάολο Ρόσι	Paolo Rossi
Νασρεντίν Χότζας	Nasreddin Hodja
Πηλέας	Pelevs
Ρομάριο	Romário
Νόμος του Μουρ	Moores lov
Μεκνές	Meknes
Θεοσοφία	Teosofi
Νανόμετρο	Nanometer
Κικ μπόξινγκ	Kickboksing
Καφού	Cafu
Α΄ Σινοϊαπωνικός Πόλεμος	Første kinesisk-japanske krig
Γερανός (μηχάνημα)	Heisekran
Κληρονομικότητα	Arv (biologi)
15ος αιώνας π.Χ.	15. århundre f.Kr.
Ουίσταν Ώντεν	W.H. Auden
Θεσμός	Institusjon
Βέστα	Vesta (gudinne)
Ομοιοκαταληξία	Rim
Φυγόκεντρος δύναμη	Sentrifugalkraft
Μεγάλη Αλμυρή Λίμνη	Store Saltsjø
Ίρις (οφθαλμού)	Regnbuehinne
Κόπα Αμέρικα	Copa América
Κινητήρας αεριώθησης	Jetmotor
Λικέρ	Likør
Νάρκη	Landmine
Μονισμός	Monisme
Χειριστήριο	Joystick
Συριακός εμφύλιος πόλεμος	Borgerkrigen i Syria
Χαλκόκοτα	Bronseibis
Καλαμοκανάς	Stylteløper
Μονομερές	Monomer
Αουρόρα	Aurora (gudinne)
Μπάαλμπεκ	Baalbek
Disney Channel	Disney Channel
Εκκρεμές του Φουκώ	Foucaults pendel
Ρουπία	Rupi
Ναυμαχία της Σαλαμίνας	Slaget ved Salamis
Μποτοσάνι	Botoșani
Μιχαήλ Μποτβίννικ	Mikhail Botvinnik
Εκατό Χρόνια Μοναξιάς	Hundre års ensomhet
Κορόνα Σλοβακίας	Slovakisk koruna
Φατάχ	Fatah
Λατινική Αυτοκρατορία	Det latinske riket
Αεροσυμπιεστής	Gasskompressor
Ερρίκος Α΄ της Γαλλίας	Henrik I av Frankrike
Αυτοκρατορία της Τραπεζούντας	Trebizond-riket
Ροβέρτος Β΄ της Γαλλίας	Robert II av Frankrike
Γκραν Κανάρια	Gran Canaria
Ζιρκόνιο (ορυκτό)	Zirkon
Αποκρυφισμός	Okkultisme
Τζώρτζταουν (αποσαφήνιση)	Georgetown
Ωδή	Ode
HTTP cookies	Informasjonskapsel
1576 Φαβιόλα	1576 Fabiola
Νευράξονας	Akson
Ιώ (μυθολογία)	Io (mytologi)
Ο Αλχημιστής (μυθιστόρημα)	Alkymisten
Ζαν Ανούιγ	Jean Anouilh
Βατερλώ	Waterloo
Λίζα Κούντροου	Lisa Kudrow
Ηλεκτρική εμπέδηση	Impedans
Καρίμ Αμπντούλ Τζαμπάρ	Kareem Abdul-Jabbar
Έκρηξη	Eksplosjon
Άρτσιμπαλντ Τζόζεφ Κρόνιν	A. J. Cronin
Προστατευτισμός	Proteksjonisme
ΦΚ Ντιναμό Κιέβου	Dynamo Kiev
Χρηματιστήριο αξιών	Børs
Παραψυχολογία	Parapsykologi
Δον Κάρλος	Don Carlos (opera)
Σοσιαλδημοκρατικό Κόμμα της Αυστρίας	Sozialdemokratische Partei Österreichs
Σταλινισμός	Stalinisme
Τζον Ράσκιν	John Ruskin
Σπηλαιολογία	Speleologi
Americana	Americana (Offspring-album)
Αντισθένης	Antisthenes
The Notorious B.I.G.	The Notorious B.I.G.
Ενιαίο κράτος	Enhetsstat
Δομισμός	Strukturalisme
Rock and Roll Hall of Fame	Rockens æresgalleri
Metro-Goldwyn-Mayer	Metro-Goldwyn-Mayer
Πτερόσαυρος	Flygeøgler
Υπερίων (μυθολογία)	Hyperion (mytologi)
Ο Ιντιάνα Τζόουνς και Ο Ναός του Χαμένου Θησαυρού	Indiana Jones og de fordømtes tempel
Φόρος εισοδήματος	Inntektsskatt
Ιππασία	Horsemanship
Απαρέμφατο	Infinitiv
Φαινομενολογία	Fenomenologi
Λοράν Γκμπαγκμπό	Laurent Gbagbo
The Secret of Monkey Island	The Secret of Monkey Island
Γαλλική εισβολή στη Ρωσία	Napoleons felttog i Russland 1812
Μοράβας	Morava
Νάρκισσος (μυθολογία)	Narkissos
Timbaland	Timbaland
Ριβόζη	Ribose
Τζιοβάννι Πιερλουίτζι ντα Παλεστρίνα	Giovanni Pierluigi da Palestrina
Άννα Κομνηνή	Anna Komnena
Μάχη του Κοσσυφοπεδίου	Slaget ved Kosovosletta
Αιτιότητα	Kausalitet
Βασίλειο της Καστίλης	Kongedømmet Castilla
Άλντερνεϊ	Alderney
Βαλλιστικός πύραυλος	Ballistisk missil
Δεσποτισμός	Despoti
Μποϊκοτάζ	Boikott
Χαλκοκουρούνα	Blåråke
Πρώτος θερμοδυναμικός νόμος	Termodynamikkens første hovedsetning
Σημαία της Δομινίκας	Dominicas flagg
Λίνκολν (αποσαφήνιση)	Lincoln
Λέμφος	Lymfe
Εξάντας	Sekstant
Ρόουντ Τάουν	Road Town
Ασύμπτωτη της συνάρτησης	Asymptote
Αμφεταμίνη	Amfetamin
Ορέστης Καρνέζης	Orestis Karnezis
Ιερό σύγγραμμα	Hellige bøker
Πολυφωνία	Polyfoni
Σαλμανασέρ Δ΄	Salmanassar IV
Γαλβανόμετρο	Galvanometer
Χειρόγραφο Βόινιτς	Voynich-manuskriptet
Όλιβερ Στόουν	Oliver Stone
Η Εποχή των Παγετώνων 3: Η Αυγή των Δεινοσαύρων	Istid 3: Dinosaurene kommer
Δέλτα του Νείλου	Nildeltaet
Υγρό πυρ	Gresk ild
Ιαπετός (μυθολογία)	Iapetos
Software bug	Programvarefeil
Θεμιστοκλής	Themistokles
Αλεξάνδρα Κολλοντάι	Aleksandra Kollontaj
Αράντ (νομός)	Arad (fylke)
Άρτζες (νομός)	Argeș (fylke)
Καϊρουάν	Kairouan
Πλοέστι	Ploiești
Μάχη των Καννών	Slaget ved Cannae
Εθνόσημο της Τσεχίας	Tsjekkias riksvåpen
Εθνόσημο της Λευκορωσίας	Hviterusslands riksvåpen
Εθνόσημο της Δανίας	Danmarks riksvåpen
Μετατρέψιμο μάρκο Βοσνίας και Ερζεγοβίνης	Konvertibilna mark
Μαυροκιρκίνεζο	Aftenfalk
Σύνδρομο	Syndrom
Έντουαρντ Έλγκαρ	Edward Elgar
Μεταφορά θερμότητας	Varmetransport
Αιχμάλωτος πολέμου	Krigsfange
Υποβρύχια κατάδυση	Dykking
Σιντζούκου	Shinjuku
Κλίμακα (μουσική)	Skala (musikk)
Στεάουα Βουκουρεστίου	Steaua București
Θεραπεία	Terapi
Μάχη των Γαυγαμήλων	Slaget ved Gaugamela
Τεύτονες (λαός)	Teutonere
Γλωσσική σχετικότητα	Sapir-Whorf-hypotesen
Αλφρέ ντε Μυσσέ	Alfred de Musset
Ισπανική Αρμάδα	Den spanske armada
Εθνικό Στάδιο Βαρσοβίας	Stadion Narodowy
Ισμαήλ Κανταρέ	Ismail Kadare
Άγαλμα	Statue
Αγία Αικατερίνη η Μεγαλομάρτυς	Katarina av Alexandria
Θυσία	Ofring
Ναφθαλίνιο	Naftalen
Ίταμος (φυτό)	Barlind
Παγκόσμια Ημέρα της Σταθεράς Π	Pi-dagen
Βολτόμετρο	Voltmeter
Προκατάληψη	Fordom
Νταγκεροτυπία	Daguerreotypi
Αράξης	Araks
Αλ-Κίντι	Al-Kindi
X Japan	X Japan
Πέδρο Ροδρίγκεθ	Pedrito
Γοργίας	Gorgias
Έδικτο της Νάντης	Ediktet i Nantes
Θησαυρός (ανάκτηση πληροφοριών)	Tesaurus
Σω	Sjo
Χρυσός Φοίνικας	Gullpalmen
Κετζαλκόατλ	Quetzalcoatl
Πρώτη Σύνοδος της Κωνσταντινούπολης	Første konsil i Konstantinopel
Σουμγκαγήτ	Sumqayit
Lux	Lux
Κεράτιος κόλπος	Det gylne horn
Οίκος των Στιούαρτ	Huset Stuart
Υψίπεδο του Θιβέτ	Tibetplatået
Διαμάχη για την Αφρική	Kappløpet om Afrika
Διαγωνισμός Τραγουδιού Eurovision 1985	Eurovision Song Contest 1985
Εθνόσημο της Ισλανδίας	Islands riksvåpen
Αιολίδες Νήσοι	De eoliske øyer
Αριστίντ Μπριάν	Aristide Briand
Δαβίδ του Μιχαήλ Άγγελου	Michelangelos David
Κλεψύδρα	Timeglass (tidsmåler)
Αχμέντ Μπεν Μπελά	Ahmed Ben Bella
Τουρμαλίνης	Turmalin
Νόμος του Χαμπλ	Hubbles lov
Μόνιμα παγωμένο έδαφος	Permafrost
Βιοφωταύγεια	Bioluminescens
Κόμμα Μπάαθ	Ba'athpartiet
Τοπική Εναλλακτική Μονάδα	Byttering
Ψωρίαση	Psoriasis
Παλαιογραφία	Paleografi
Κακάπο	Kakapo
Ιώβ	Job
Milli Tarāna	Soroud-e melli
Λίμνη Έυρ	Eyresjøen
Αναδρομή	Rekursjon
Αναλογιστής	Aktuar
Κλαούντιο Μαρκίζιο	Claudio Marchisio
Μεθαδόνη	Metadon
Δεκατρείς Αποικίες	De tretten koloniene
Αμερικανικό Εθνικό Ίδρυμα Προτυποποίησης	American National Standards Institute
Φέργκι (τραγουδίστρια)	Fergie
Καλειδοσκόπιο	Kaleidoskop
Κάτων ο πρεσβύτερος	Cato den eldre
Γαλικία (Ανατολική Ευρώπη)	Galicia (Sentral-Europa)
Νυχτερινό μαχητικό	Nattjagere
The Economist	The Economist
Τύραννος	Tyrann
Μπεν Χουρ (ταινία)	Ben-Hur
Αρνταμπίλ	Ardabil
Απολλώνιος ο Περγαίος	Apollonios fra Perge
Αγιουβίδες	Ajjubide-dynastiet
Φάτιμα (κόρη του Μωάμεθ)	Fatima az-Zahra
Οβιδοβόλο	Haubits
Χράντετς Κράλοβε	Hradec Králové
Γιοχάνες Νίκολαους Μπρόνστεντ	Johannes Brønsted
Μεταδεδομένα	Metadata
Μηχατρονική	Mekatronikk
Κοζάνη	Kozani
Γαυγάμηλα	Gaugamela
Μάχη της Ίβο Τζίμα	Slaget om Iwo Jima
Ίζημα	Sediment
Εθνική Ονδούρας (ποδόσφαιρο ανδρών)	Honduras' herrelandslag i fotball
Χώρες του Τρίτου Κόσμου	Den tredje verden
Επαρχία Χάργιου	Harju fylke
Σαμπουάν	Sjampo
Νησιά Σκίλι	Scillyøyene
Μαύρος Κύκνος (ταινία 2010)	Black Swan
Αμφιτρίτη	Amfitrite
Λέννυ Κράβιτζ	Lenny Kravitz
Σούπερμαν: Τα Χρόνια της Νιότης	Smallville
Πόρι	Björneborg
Τυφών (μυθολογία)	Tyfon (mytologi)
Εσωτερική ενέργεια	Indre energi
Κυψέλη καυσίμου	Brenselcelle
Ερινύες	Erinyer
Οστρακιά	Skarlagensfeber
Γκόσπελ	Gospelmusikk
Γκάρι Σινίζ	Gary Sinise
Καθεδρικός Ναός της Σαρτρ	Chartreskatedralen
Σαρλ Γκουνώ	Charles Gounod
Τουργκούτ Οζάλ	Turgut Özal
Northrop Grumman B-2 Spirit	Northrop B-2 Spirit
Μοίρες	Moirere
Γιάφα	Jaffa
ΑΣ Μονακό	AS Monaco FC
Περσικό ημερολόγιο	Iransk kalender
Φαράχ (περιοχή)	Farah (provins)
Φάλαγγα	Falanks
Μεθειονίνη	Metionin
Ποδοσφαιρική Συνομοσπονδία Ωκεανίας	Oceania Football Confederation
Αποδόμηση	Dekonstruksjon
Γκαγκαούζοι	Gagausere
Σιρόκος	Scirocco
Ρέζεκνε	Rēzekne
Αντικείμενο διασκορπισμένου δίσκου	Den spredte skiven
Έλεν Κλαρκ	Helen Clark
Βασίλειο των Δύο Σικελιών	De to sicilier
Εθνικό πάρκο Γιοσέμιτι	Yosemite nasjonalpark
433 π.Χ.	433 f.Kr.
Φρεντερίκ Πασσύ	Frédéric Passy
Γκαζνί (περιοχή)	Ghazni (provins)
Ρος Κάουντι ΦΚ	Ross County FC
Emirates Airlines	Emirates
Ανκχ	Ankh
Κρανιακά νεύρα	Hjernenerve
Αριστοτέλης Ωνάσης	Aristoteles Onassis
Ντονμπάς Αρένα	Donbas Arena
Περιφέρεια Ηπείρου	Epirus
Λαϊκισμός	Populisme
Σκανδιναβική Σάγκα	Sagalitteratur
Άκαμπα	Akaba
Κόλπος της Αλάσκας	Alaskabukta
Αλιευτικό πεδίο	Fiskeri
Πρίσμα (γεωμετρία)	Prisme (geometri)
Νεολιθική επανάσταση	Den neolittiske revolusjonen
Αλέξις Σάντσες	Alexis Sánchez
Ελικοβακτήριο του πυλωρού	Helicobacter pylori
Φίλιπ Σέιμουρ Χόφμαν	Philip Seymour Hoffman
Ευρωπαϊκό Πρωτάθλημα Ποδοσφαίρου 1996	EM i fotball 1996
Αμυγδαλές	Mandler (anatomi)
Δίοδος Ζένερ	Zenerdiode
Γκεόργκι Μαλενκόφ	Georgij Malenkov
The Smiths	The Smiths
Υγρασία ατμόσφαιρας	Luftfuktighet
Μελάνωμα	Malignt melanom
Θέατρο Ντόλμπι	Dolby Theatre
Γενετικός κώδικας	Genetisk kode
Ακετυλοχολίνη	Acetylkolin
Λίλιθ	Lilith
Τίγκραν Πετροσιάν	Tigran Petrosian
Γκαρίντσα	Garrincha
Φωτορύπανση	Lysforurensning
Ντίνο Τζοφ	Dino Zoff
Σάρα Μισέλ Γκέλαρ	Sarah Michelle Gellar
14ος αιώνας π.Χ.	14. århundre f.Kr.
Άρατος ο Σολεύς	Aratos
Κατάλογος κωδικών χωρών ΔΟΕ	IOKs landskoder
Βραβεία Αμερικανικής Ακαδημίας Κινηματογράφου 2011	Den 84. Oscar-utdelingen
Μίντγκαρντ	Midgard
Σύγκρουση	Konflikt
Βεδουίνοι	Beduiner
Συγχρονισμένη κολύμβηση	Synkronsvømming
Προκριματικά Ευρωπαϊκού Πρωταθλήματος Ποδοσφαίρου 2012	Kvalifisering til EM i fotball 2012
Άννα Νικόλ Σμιθ	Anna Nicole Smith
Βελτιστοποίηση για τις μηχανές αναζήτησης	Søkemotoroptimalisering
Σκουλήκι υπολογιστή	Dataorm
Τσάκρα	Chakra
Σημαία του Σουρινάμ	Surinams flagg
Τζων Κέιτζ	John Cage
Πρίγκιπας της Ουαλίας	Prince of Wales
Οι Άθλιοι	De elendige
Χάλκινα πνευστά της συμφωνικής ορχήστρας	Messingblåseinstrument
Στηθάγχη	Angina pectoris
Διάταγμα των Μεδιολάνων	Milanoediktet
Σούσα	Susa
Δυστοπία	Dystopi
Εθνική Πινακοθήκη Λονδίνου	National Gallery
Εθνική Ανδόρρας (ποδόσφαιρο ανδρών)	Andorras herrelandslag i fotball
Εθνική Αζερμπαϊτζάν (ποδόσφαιρο ανδρών)	Aserbajdsjans herrelandslag i fotball
Τρούρο	Truro
Θυρίστορ	Tyristor
Χρυσές Σφαίρες του 2010	Den 68. Golden Globe-utdelingen
Λεβ Βιγκότσκι	Lev Vygotskij
Σαρλότ Περέλι	Charlotte Perrelli
Εθνική Βουλγαρίας (ποδόσφαιρο ανδρών)	Bulgarias herrelandslag i fotball
Grace Under Pressure	Grace Under Pressure
Τομ Τζόουνς	Tom Jones
Ζανγκ Ζιγί	Zhang Ziyi
Εθνική Ουαλίας (ποδόσφαιρο ανδρών)	Wales' herrelandslag i fotball
Ρότζερ Γουώτερς	Roger Waters
Σεληνιακή θάλασσα	Månehav
Pantera	Pantera
Πάπας Γελάσιος Β΄	Gelasius II
Αλεξανδρινή γραμμή	Tordesillastraktaten
Ατόμιουμ	Atomium
Αναψυχή	Fritid
Μελατονίνη	Melatonin
Ψυχογενής βουλιμία	Bulimia nervosa
Τζον Γουίλκς Μπούθ	John Wilkes Booth
Πάφος	Pafos
Μασταμπάς	Mastaba
Φρανσουά Μπουσέ	François Boucher
Κρυπτοζωολογία	Kryptozoologi
Σφαιροβολία	Kulestøt
Σάια ΛαΜπέουφ	Shia LaBeouf
Κώδικας του Καίσαρα	Cæsarchiffer
Οκλαχόμα Σίτι Θάντερ	Oklahoma City Thunder
Χρωματίνη	Kromatin
Μετρικός χώρος	Metrisk rom
Νόρμαν Μέιλερ	Norman Mailer
Αλγεβρική γεωμετρία	Algebraisk geometri
Άντριου Λόυντ Γουέμπερ	Andrew Lloyd Webber
Στούπα	Stupa
Μπρόουντ Πικ	Broad Peak
Τρυπτοφάνη	Tryptofan
Χαττούσα	Hattusa
Χαρντ μποπ	Hard bop
Φούγκα	Fuge (musikk)
Σολιψισμός	Solipsisme
Λαιμαργία	Fråtseri
Δόγμα Μονρόε	Monroedoktrinen
Νεύρωση	Nevrose
Μουσικό κλειδί	Nøkkel (musikk)
Αμπού Μουσάμπ Αλ Ζαρκάουι	Abu Musab al-Zarqawi
Στενογραφία	Stenografi
Ο Πόλεμος των Άστρων: Επεισόδιο 2 - Η Επίθεση των Κλώνων	Star Wars Episode II: Klonene angriper
Συνειδητό όνειρο	Bevisst drømming
Το Κουρδιστό Πορτοκάλι	A Clockwork Orange
Ουροποιητικό σύστημα	Urinveiene
Βαλουχιστάν	Balutsjistan
Σημαία του Αγίου Χριστόφορου και Νέβις	Saint Kitts og Nevis' flagg
Μολδαβικό Λέου	Moldovsk leu
Τροτσκισμός	Trotskisme
Γλουταμινικό οξύ	Glutaminsyre
Εθνόσημο της Ουγγαρίας	Ungarns riksvåpen
Αυστηρή χορτοφαγία	Veganisme
Εθνόσημο της Ελλάδας	Hellas' riksvåpen
Μωαβίας Α΄	Muawiyah ibn Abi Sufyan
Σχεδιαστικά πρότυπα	Designmønster
Ποποκατέπετλ	Popocatépetl
Δανική Βικιπαίδεια	Wikipedia på dansk
Ντίσνεϋλαντ	Disneyland (California)
Εθνική Βοσνίας και Ερζεγοβίνης (ποδόσφαιρο ανδρών)	Bosnia-Hercegovinas herrelandslag i fotball
Μερισματική Πολιτική	Utbytte
Διαλεκτικός υλισμός	Dialektisk materialisme
Χάιντουκ Σπλιτ	HNK Hajduk Split
Μπέης	Bey
Ντεϊκούντι (περιοχή)	Daikondi (provins)
Γιόρμουνγκαντ	Midgardsormen
Παντζίρ (περιοχή)	Panjshir (provins)
Ξύλινα πνευστά της συμφωνικής ορχήστρας	Treblåseinstrument
Αυτοκρατορία της Νίκαιας	Keiserriket Nikea
Καρκίνος του προστάτη	Prostatakreft
Μυκηναϊκός πολιτισμός	Mykensk kultur
Θερινοί Ολυμπιακοί Αγώνες 2020	Sommer-OL 2020
Έντσο Φερράρι	Enzo Ferrari
Γερμανική λογοτεχνία	Tysk litteratur
Θανατοφάγοι	Dødseter
Αβελιανή ομάδα	Abelsk gruppe
Φανζίν	Fanzine
Σταλαγμίτης	Stalagmitt
Βαβρ	Wavre
Εντομοκτόνο	Insektmiddel
Πύργος Οστάνκινο	Ostankinotårnet
Νόμος του Μπερνούλι	Bernoulli-prinsippet
Ζεόλιθος	Zeolitt
Ράλι Ντακάρ	Rally Dakar
Πατριαρχία	Patriarki
Godspeed You! Black Emperor	Godspeed You! Black Emperor
Άρπυιες	Harpyer
Μπράιαν Τζόζεφσον	Brian David Josephson
Τσεν Νινγκ Γιανγκ	Chen Ning Yang
Οσμανίγιε	Osmaniye
Γαλακτόζη	Galaktose
Τριχόπτωση	Skallethet
Θρεπτικά συστατικά	Næringsstoff
Μαγνητίτης	Magnetitt
Αρχή του Αρχιμήδη	Arkimedes' prinsipp
Τζούλι Κρίστι	Julie Christie
Διαμόρφωση συχνότητας	Frekvensmodulasjon
Τσόου Γιούν-Φατ	Chow Yun-Fat
Φρι Στέιτ Στέιντιουμ	Free State Stadium
Νέλσον Μαντέλα Μπέι Στέιντιουμ	Nelson Mandela Bay Stadium
Γαλιόνι	Gallion
Οράγγης	Oranje (elv)
Κοτοπάξι	Cotopaxi
Διεθνές Αεροδρόμιο Μπεν Γκουριόν	Ben Gurion internasjonale lufthavn
Ντάρλινγκ (ποταμός)	Darling (elv)
Σία Φέρλερ	Sia Furler
Τα ταξίδια του Γκιούλιβερ	Gullivers reiser
Φυλετικός διμορφισμός	Kjønnsdimorfisme
Αστρομετρία	Astrometri
Χέρμπερτ Σάιμον	Herbert Simon
Πόλεμος της Βοσνίας	Bosnia-krigen
Quantum of Solace	Quantum of Solace
RSA	RSA
Καοσιούνγκ	Kaohsiung
Ιβάν Αϊβαζόφσκι	Ivan Ajvazovskij
Συμφωνία Ελεύθερου Εμπορίου Βόρειας Αμερικής	NAFTA
Μπίνγκου γουά Μουταρίκα	Bingu wa Mutharika
Βασιλιάς Ληρ	Kong Lear
Βρογχικό σύστημα	Bronkietreet
Γλουταμίνη	Glutamin
Ριντ Πρίντι	Reid Priddy
Παραλληλεπίπεδο	Parallellepiped
Ούρσουλα Λε Γκεν	Ursula K. Le Guin
Αγκοστίνιο Νέτο	Agostinho Neto
Τζωρτζ Ρ.Ρ. Μάρτιν	George R.R. Martin
Ντολφ Λούντγκρεν	Dolph Lundgren
Firewire	FireWire
Ανθρακικό άλας	Karbonat
Σαιν-Λο	Saint-Lô
Σαρλ Φουριέ	Charles Fourier
Κατάλογος πόλεων της Ουγγαρίας	Liste over byer i Ungarn
Ορίζοντας γεγονότων	Hendelseshorisont
Πετσενέγοι	Petsjeneger
Μαυρίκιος (αυτοκράτορας)	Maurikios
Αυτοκράτορας της Αγίας Ρωμαϊκής Αυτοκρατορίας	Tysk-romersk keiser
Ρέι Μιλάντ	Ray Milland
Κολλοειδές	Kolloid
Ρόναλντ Κόλμαν	Ronald Colman
Ο Πόλεμος των Άστρων: Επεισόδιο 5 - Η Αυτοκρατορία Αντεπιτίθεται	Imperiet slår tilbake
Ρίτσαρντ Ντρέιφους	Richard Dreyfuss
Τζούτσε	Juche
Ο Πόλεμος των Άστρων: Επεισόδιο 6 - Η Επιστροφή των Τζεντάι	Star Wars Episode VI: Jediridderen vender tilbake
Tupolev Tu-95	Tupolev Tu 95-MS
Φρέντρικ Μαρτς	Fredric March
Please Please Me	Please Please Me (album)
Σούμεν	Sjumen
Μοσέ Κατσάβ	Moshe Katsav
Πραγματολογία	Pragmatikk
Οξυρρυγχίδες	Stører
Neu!	Neu!
Μετάσταση	Metastase
Μιχαήλ Γκλίνκα	Mikhail Glinka
Ρεξ Χάρισον	Rex Harrison
Χαν	Khan
Πένα (μουσική)	Plekter
Πιέτρο Μασκάνι	Pietro Mascagni
Σβεν Α΄ της Δανίας	Svein Tjugeskjegg
Πολυμερισμός	Polymerisering
Κλιφ Ρόμπερτσον	Cliff Robertson
Σταν Λι	Stan Lee
Ρουμανική Ορθόδοξη Εκκλησία	Den rumensk-ortodokse kirke
Συνθήκη του Τριανόν	Trianon-traktaten
Εθνική Αλγερίας (ποδόσφαιρο ανδρών)	Algeries herrelandslag i fotball
Ανδεσίτης	Andesitt
KLM Royal Dutch Airlines	KLM Royal Dutch Airlines
Μιχαήλ Α΄ της Ρωσίας	Mikhail av Russland
Ντέιβιντ Νίβεν	David Niven
Μπράνισλαβ Ιβάνοβιτς	Branislav Ivanović
Ελλειμματική Προσοχή - Υπερκινητικότητα	Attention Deficit Hyperactivity Disorder
Εθνική Νιγηρίας (ποδόσφαιρο ανδρών)	Nigerias herrelandslag i fotball
Ι Τσινγκ	Yijing
Μεχμέτ Αλί Αγκτσά	Mehmet Ali Ağca
Πάπας Ιωάννης ΙΓ΄	Johannes XIII
Αιξ-λε-Μπαιν	Aix-les-Bains
Αρχαϊσμός	Arkaisme
Γαλλικό Δημοκρατικό Ημερολόγιο	Den franske revolusjonskalender
Δυτικό ημισφαίριο	Den vestlige halvkule
Υδρόζωα	Småmaneter
Αντόλφ Σαξ	Adolphe Sax
Ένα προς ένα	Injektiv
Ραιδεστός	Tekirdağ
Περιβαλλοντικό Πρόγραμμα των Ηνωμένων Εθνών	FNs miljøprogram
Λήδα	Leda
Μαρία των Μεδίκων	Maria de' Medici
Ακσαράι	Aksaray
Lockheed C-130 Hercules	Lockheed Martin C-130 Hercules
Ιωάννης Β΄ του Αινώ	Jan II av Holland
Ναϊάδες	Najade
Ασπαρτάμη	Aspartam
Μάτι Βάνχανεν	Matti Vanhanen
Λέον Μπαττίστα Αλμπέρτι	Leon Battista Alberti
Πολ Λούκας	Paul Lukas
Γραφείο	Kontor
Ελληνική Επανάσταση του 1821	Den greske selvstendighetskrigen
Πίνακας μεταλλίων Θερινών Ολυμπιακών Αγώνων 2008	Medaljefordeling under Sommer-OL 2008
Κύπελλο Ιντερτότο ΟΥΕΦΑ	UEFA Intertoto Cup
Μαξέντιος	Maxentius
Εθνική Τσεχοσλοβακίας (ποδόσφαιρο ανδρών)	Tsjekkoslovakias herrelandslag i fotball
Πίστη (οικονομία)	Kredit
Αεροπορικό δυστύχημα της Λοκομοτίβ Γιαροσλάβλ	Flyulykken i Jaroslavl 2011
Ωκεάνιο κλίμα	Maritimt klima
Τομπρούκ	Tobruk
Κιλοβατώρα	Kilowattime
Τάνταλος	Tantalos
Τζέσικα Τάντι	Jessica Tandy
Ματ	Sjakkmatt
Φετιχισμός	Fetisj (religion)
Αντικομμουνισμός	Antikommunisme
Ειρηναίος της Λυών	Ireneus av Lyon
Μητροπολιτικά δίκτυα	Bydatanett
Οίκος των Βαλουά	Huset Valois
Αυτοκίνητα (ταινία)	Biler (film)
Ταξίδι στο χρόνο	Tidsreise
Έρπης ζωστήρ	Helvetesild
Μπαλχ	Balkh
Πρωτάθλημα Ρωσίας (ποδόσφαιρο ανδρών)	Russisk toppserie i fotball
Κατακόρυφος	Vertikal
Nintendo GameCube	Nintendo GameCube
Πεντάλφα	Pentagram
Ζορζ Μαρσέ	Georges Marchais
Ευρωπαϊκό Πρωτάθλημα Ποδοσφαίρου 1980	EM i fotball 1980
Ευρωπαϊκό Πρωτάθλημα Ποδοσφαίρου 1968	EM i fotball 1968
Ευρωπαϊκό Πρωτάθλημα Ποδοσφαίρου 1964	EM i fotball 1964
Spider-Man 3	Spider-Man 3
Οι Εκδικητές (ταινία 2012)	The Avengers
Ηλεκτρική ασφάλεια	Sikring (elektrisk)
Maroon 5	Maroon 5
Εγκεφαλικό στέλεχος	Hjernestamme
Τζορτζ Άρλις	George Arliss
Βένθος	Bentos
Σκηνοπηγία	Løvhyttefest
Ηλεκτρονική μάθηση	E-læring
Απόλλων 13	Apollo 13
Ζαν Καλμάν	Jeanne Louise Calment
Ενσυναίσθηση	Empati
Αλβίτης	Albitt
Στίβος στους Θερινούς Ολυμπιακούς Αγώνες 1896 – Άλμα επί κοντώ ανδρών	Friidrett under Sommer-OL 1896 – Stavsprang herrer
Αλυτρωτισμός	Irredentisme
Πολ Μιούνι	Paul Muni
Χανιά	Khania
Σωρειτομελανίας	Cumulonimbus
Πέτερ Σμάιχελ	Peter Schmeichel
Μηχανισμός των Αντικυθήρων	Antikythera-mekanismen
Λουκούμι	Lokum
Νιαγάρας	Niagara
Ασιατικό λιοντάρι	Asiatisk løve
Γιενς Γιόχανσον	Jens Johansson
Λυρική ποίηση	Lyrikk
Μουσικό Βραβείο της Σκανδιναβικής Επιτροπής	Nordisk råds musikkpris
Ζοζέ Σόκρατες	José Sócrates
Λουίζ Φλέτσερ	Louise Fletcher
Ο Ιντιάνα Τζόουνς και Το Βασίλειο του Κρυστάλλινου Κρανίου	Indiana Jones og krystallhodeskallens rike
Πουτρατζάγια	Putrajaya
PGE Arena	PGE Arena Gdańsk
Ευρωπαϊκό Πρωτάθλημα Ποδοσφαίρου 1972	EM i fotball 1972
With The Beatles	With The Beatles
Γιαζντ	Yazd
Λαρς Λόκε Ράσμουσεν	Lars Løkke Rasmussen
Εθνόσημο του Καζακστάν	Kasakhstans riksvåpen
Ωκεανίδες	Okeanidene
Γκλέντα Τζάκσον	Glenda Jackson
Στίβος στους Θερινούς Ολυμπιακούς Αγώνες 1896 – Άλμα εις ύψος ανδρών	Friidrett under Sommer-OL 1896 – Høydehopp herrer
Κατάλογος πόλεων της Βουλγαρίας	Liste over byer i Bulgaria
Σιλίστρα	Silistra
Λανθαρότε	Lanzarote
Βιβλιοθηκονόμος	Bibliotekar
Πελίας	Pelias
Πλαστική χειρουργική	Kosmetisk kirurgi
Προύθος	Prut
