আফ্রিকা	Afrika
জায়ফল	Muskatnøttslekten
জলমণ্ডল	Hydrosfære
ছাদ	Tak (arkitektur)
রোমিও অ্যান্ড জুলিয়েট	Romeo og Julie
প্রতিপদার্থ	Antimaterie
জোট-নিরপেক্ষ আন্দোলন	Organisasjonen av alliansefrie nasjoner
সেনতোর	Kentaur
শব্দছক	Kryssord
গোলান মালভূমি	Golanhøyden
আলোক তড়িৎ ক্রিয়া	Fotoelektrisk effekt
ক্যান্ডেলা	Candela
কেপলারের গ্রহীয় গতিসূত্র	Keplers lover for planetenes bevegelser
আস্ক্লেপিউস	Asklepios
একোল নর্মাল সুপেরিয়র	École Normale Supérieure
ভুভুজেলা	Vuvuzela
হার্ড রক	Hardrock
এশিয়ান ফুটবল কনফেডারেশন	Asian Football Confederation
যুক্তরাজ্যের জাতীয় পতাকা	Storbritannias flagg
সেলিনা গোমেজ	Selena Gomez
জন উইলিয়াম স্ট্রাট, ৩য় ব্যারন রেলি	John William Strutt
ফোরট্রান	Fortran
বাব এল মান্দেব	Bab el-Mandeb
টাইফয়েড	Tyfoidfeber
গুরু নানক দেব	Guru Nának
পামেলা অ্যান্ডারসন	Pamela Anderson
ইলেকট্রন-ভোল্ট	Elektronvolt
তুর্কীয় জাতিসমূহ	Tyrkere
লুই দ্য ব্রোয়ি	Louis de Broglie
জেমস ওয়াটসন	James D. Watson
রবিন উইলিয়ামস	Robin Williams
এলসিডি	LCD
ওরিগামি	Origami
জিনস	Dongeribukse
অভিজ্ঞতাবাদ	Empirisme
উইন্ডোজ ৯৫	Windows 95
বলশেভিক	Bolsjevik
কোয়েজার	Kvasar
এম্পেদোক্লেস	Empedokles
এলিয়ানর রুজভেল্ট	Eleanor Roosevelt
হিরোস (টিভি সিরিজ)	Heroes (TV-serie)
নর্মান জাতি	Normannere
জন টেরি	John Terry
ওল্ড ট্রাফোর্ড (ফুটবল)	Old Trafford
ব্রাজিল জাতীয় ফুটবল দল	Brasils herrelandslag i fotball
জেনারেল অফিসার	General
ভারোত্তোলন	Vektløfting
জুডাস প্রিস্ট	Judas Priest
গ্রুপ (গণিত)	Gruppe (matematikk)
অপদূরবিন্দু	Apsis (astronomi)
মেসুত ওজিল	Mesut Özil
গ্যারি ওল্ডম্যান	Gary Oldman
দ্য ম্যাট্রিক্স	The Matrix
কের্বেরুস	Kerberos
মাউন্ট রাশমোর	Mount Rushmore
আলেক্সান্দর প্রখরভ	Aleksandr Prokhorov
নিকোলাই বাসভ	Nikolaj Basov
রসায়ন প্রকৌশল	Kjemiteknikk
মারাঠা সাম্রাজ্য	Marathariket
জাহাঙ্গীর	Jahangir
শাহ জাহান	Shah Jahan
অস্থি কলা	Beinvev
ওয়েস ব্রাউন	Wes Brown
শিমলা	Shimla
বেঞ্জোডায়াজেপিন	Benzodiazepin
আল্লাহর ৯৯ টি নাম	Allahs 99 vakreste navn
সসনিয়ন সাম্রাজ্য	Sasanide-dynastiet
ঘাসফড়িং	Gresshopper
ক্যাথোড রশ্মি নল	Bilderør
মানব বিবর্তন	Menneskets evolusjon
মেসিডেনীয় সভ্যতা	Oldtidens Makedonia
হোরাস	Horus
জিওভান্নি আন্তোনিও স্কোপোলি	Giovanni Antonio Scopoli
নাতাশা কাম্পুশ	Natascha Kampusch
লুডভিগ বোলৎসমান	Ludwig Boltzmann
কার্ল লান্ডষ্টাইনার	Karl Landsteiner
দ্য টেমপেস্ট	Stormen
গ্রেট ব্লু হোল	Great Blue Hole
পাণ্ডুলিপি	Manuskript
লুকা প্যাসিওলি	Luca Pacioli
পোল্যান্ডবল	Polenball
স্টিফান হেল	Stefan Hell
শব্দদূষণ	Støyforurensning
টেমপ্লেট:Cite book	Mal:Kilde bok
এডগার কড	Edgar F. Codd
ল্যারি ওয়াল	Larry Wall
নিকলাউস ভির্ট	Niklaus Wirth
রিচার্ড কার্প	Richard M. Karp
ডগলাস কার্ল এঙ্গেলবার্ট	Douglas C. Engelbart
বিয়ারনে স্ট্রোভস্ট্রুপ	Bjarne Stroustrup
অ্যান্ড্রু এস ট্যানেনবম	Andrew S. Tanenbaum
জন ম্যাকার্থি	John McCarthy
এলান কে	Alan Kay
ভিন্টন সার্ফ	Vinton G. Cerf
ক্রিস্টেন নিগার্ড	Kristen Nygaard
উলাহ্‌-ইয়োহান ডাল	Ole-Johan Dahl
জন বাকাস	John Backus
ল্যারি এলিসন	Larry Ellison
ক্লদ শ্যানন	Claude Elwood Shannon
সের্গেই ব্রিন	Sergey Brin
রবার্ট মেটক্যাফ	Robert Metcalfe
লতফি জাদেহ	Lotfi Zadeh
গাইয়া	Gaia
লুই ব্রেল	Louis Braille
ডিম (খাদ্য)	Egg (mat)
বলিউড	Bollywood
টিউলিপ	Tulipanslekta
প্রামাণ্যচিত্র	Dokumentarfilm
এমু	Emu
রাওয়ালপিন্ডি	Rawalpindi
অ্যান্টিভাইরাস (কম্পিউটার)	Antivirusprogram
মার্ক শাগাল	Marc Chagall
চুক্তি	Avtale
নটিক্যাল মাইল	Nautisk mil
মাইলস ডেভিস	Miles Davis
পার্সি বিশি শেলি	Percy Bysshe Shelley
ত্রিকোণমিতিক অপেক্ষক	Trigonometriske funksjoner
শেমাস্‌ হীনি	Seamus Heaney
ফ্রিদরিখ আদলের	Friedrich Adler (politiker)
লিউক শ	Luke Shaw
আদ্রিয়ানো করেইয়া	Adriano Correia
এমির কুস্তুরিৎসা	Emir Kusturica
খান একাডেমী	Khan Academy
রকস্টার গেমস	Rockstar Games
জন কারপেন্টার	John Carpenter
প্রথম মুরাদ	Murad I
থমাস ক্রিশ্চিয়ান সুদোফ	Thomas Südhof
একার্ড আনগার	Eckhard Unger
বার্লিন এস-বান	Berlins forstadsbaner
মাইকোরাইজা	Mykorrhiza
আর্কিওপ্টেরিক্স	Urfugler
ল্যারি হাগমেন	Larry Hagman
রেচল কারসন	Rachel Carson
পাউন্ড (ভর)	Pund (masseenhet)
অণুচক্রিকা	Blodplate
প্রতিফলন অনুপাত	Albedo
বাহাউল্লাহ	Bahá'u'lláh
বয়ঃসন্ধি	Pubertet
তার্তারুস	Tartaros
হোমো ইরেক্টাস	Homo erectus
ইন্দোনেশিয়ার জাতীয় পতাকা	Indonesias flagg
মারাক্কেশ	Marrakech
মেরি ওলস্টোনক্র্যাফ্‌ট	Mary Wollstonecraft
হ্যাড্রন	Hadron
১৯৯৮ ফিফা বিশ্বকাপ	VM i fotball 1998
বেনোয়া মান্ডেলব্রট	Benoît Mandelbrot
১৯৯৪ ফিফা বিশ্বকাপ	VM i fotball 1994
উইনোনা রাইডার	Winona Ryder
ইগলু	Iglo
পর্যায় (পর্যায় সারণী)	Periodesystemets perioder
বায়োম	Biom
হাইপারলিংক	Hyperlenke
ফাবিও কান্নাভারো	Fabio Cannavaro
রোনাল্ড রস	Ronald Ross
গর্গনেস	Gorgonene
গ্র্যান্ড স্ল্যাম (টেনিস)	Grand Slam (tennis)
দ্বিতীয় মার্গারেথ	Margrethe II av Danmark
আদর্শ তাপমাত্রা ও চাপ	Standard trykk og temperatur
ফ্লোরাইট	Flusspat
ফিদে	Fédération internationale des échecs
স্বাদু পানি	Ferskvann
পিটার অ্যাগর	Peter Agre
সিডনি অল্টম্যান	Sidney Altman
ক্রিস্টিয়ান ব. আনফিন্সেন	Christian Anfinsen
বাকমিন্‌স্টার ফুলার	Richard Buckminster Fuller
ফ্রানসিস উইলিয়াম অ্যাস্টন	Francis William Aston
ডিউটেরিয়াম	Deuterium
জো ফ্রেজিয়ার	Joe Frazier
ইতালির শহর	Byer i Italia
ব্রিগেড	Brigade
পল বার্গ	Paul Berg
পল বয়ার	Paul D. Boyer
হারবার্ট সি. ব্রাউন	Herbert C. Brown
নপিক্স	Knoppix
ডেরেক হ্যারল্ড রিচার্ড বার্টন	Derek Harold Richard Barton
শ্রেষ্ঠ চলচ্চিত্রের জন্য একাডেমি পুরস্কার	Oscar for beste film
হ্যারি পটার অ্যান্ড দ্য ফিলোসফার্স স্টোন (চলচ্চিত্র)	Harry Potter og de vises stein (film)
পল স্যামুয়েলসন	Paul Samuelson
বনমানুষ	Menneskeaper
ক্যাস নিবন্ধন নম্বর	CAS-nummer
কম্পানি (মিলিটারি ইউনিট)	Kompani
সিসিফাস	Sisyfos
ইয়োহান গটলিব ফিকটে	Johann Gottlieb Fichte
বাইনোকুলার	Kikkert
মিখাইল তাল	Mikhail Tal
সোডিয়াম হাইড্রোক্সাইড	Natriumhydroksid
সংক্ষেপন	Forkortelse
আকরিক	Malm
ইয়াকোবুস হেনরিকুস ফান্ট হফ	Jacobus Henricus van 't Hoff
ফ্রেডেরিক সডি	Frederick Soddy
তৃতীয় দারিয়ুস	Dareios III av Persia
নেমোসাইনে	Mnemosyne
উত্তর কোরিয়ার জাতীয় পতাকা	Nord-Koreas flagg
চিত্রনাট্য	Filmmanus
লেটো	Leto
ফ্লিকার	Flickr
একাডেমি পুরস্কার শ্রেষ্ঠ পরিচালক	Oscar for beste regi
২০০১: আ স্পেস অডিসি (চলচ্চিত্র)	2001: En romodyssé
বিশ্বযুদ্ধ	Verdenskrig
আলফা কণা	Alfapartikkel
বিটা কণিকা	Betapartikkel
জার্মেইন গ্রিয়ার	Germaine Greer
লুক মন্টেগনিয়ার	Luc Montagnier
অরোরা	Aurora
শ্রেষ্ঠ অভিনেত্রীর জন্য একাডেমি পুরস্কার	Oscar for beste kvinnelige hovedrolle
রন হাওয়ার্ড	Ron Howard
সেজারিয়া এভোরা	Cesária Évora
রবি শংকর	Ravi Shankar
আদিবাসী জনগণ	Urfolk
পিটার ডিবাই	Peter Debye
ফ্রাঁসোয়াজ বারে সিনৌসি‌	Françoise Barré-Sinoussi
অউ নিলস বোর	Aage Niels Bohr
প্রাক্-ক্যাম্ব্রিয়ান	Prekambrium
স্টিভেন সোডারবার্গ	Steven Soderbergh
বুস্টার কিটন	Buster Keaton
ক্লিও (মিউজ)	Kleio
কাল্লিয়োপে	Kalliope
সৌরকেন্দ্রিক মতবাদ	Heliosentrisme
মেল্পোমেনে	Melpomene
উরানিয়া	Urania
তের্প্সিকোরে	Terpsikhore
অ্যাসবেসটস	Asbest
আন্দ্রেঁ গেইম	Andre Geim
পাল্প ফিকশন	Pulp Fiction
আনফরগিভেন	Nådeløse menn
বিলিরুবিন	Bilirubin
আলবেনিয়ার কাউন্টিসমূহ	Albanias regioner
মেল ব্রুক্স	Mel Brooks
এরাতো	Erato
পলিহিম্নিয়া	Polyhymnia
য়ুকন নদী	Yukon (elv)
মারিও গোটজে	Mario Götze
উৎকেন্দ্রিকতা	Eksentrisitet
বিয়ন বর্গ	Björn Borg
ব্রুশ বিউটলার	Bruce Beutler
জ্যাক সজটাক	Jack Szostak
অ্যান্ড্রিউ ফিল্ডিং হ্যাক্সলি	Andrew Huxley
পূর্ণিমা	Fullmåne
জন সি ম্যাথার	John C. Mather
ভিতালি গিঞ্জবার্গ	Vitalij Ginzburg
বায়ার ০৪ লেভারকুজেন	Bayer Leverkusen
সিমন ফান ডার মিয়ার	Simon van der Meer
ফার্মওয়্যার	Firmware
এ মিডসামার নাইট'স ড্রিম	En midtsommernattsdrøm
ওয়াল-ই	WALL·E
রবার্ট জি. এডওয়ার্ডস	Robert Edwards
মৌলিক বল	Fundamentalkraft
সিডনি শেলডন	Sidney Sheldon
শিশাপাংমা	Shishapangma
টম ক্ল্যানসি	Tom Clancy
গ্র্যান্ডমাস্টার (দাবা)	Internasjonal stormester i sjakk
গারনেট	Granat (mineral)
অ্যানহাইড্রাইট	Anhydritt
স্যাটার্ন পুরস্কার	Saturn Award
জন ডেনভার	John Denver
রাল্ফ এম. স্টেইনম্যান	Ralph M. Steinman
পরচুলা	Parykk
রড লেভার	Rod Laver
প্রতিযোগ	Opposisjon (astronomi)
রটেন টম্যাটোস	Rotten Tomatoes
পল মর্ফি	Paul Morphy
বেয়ার সূচক	Bayer-betegnelse
ডক্টর স্ট্রেঞ্জলাভ	Dr. Strangelove
জন আপ্‌ডাইক্‌	John Updike
হোমো এরগ্যাস্টার	Homo ergaster
বারুচ স্যামুয়েল ব্লুমবার্গ	Baruch Samuel Blumberg
মারিওন বারতোলি	Marion Bartoli
গাব্রিয়েলা সাবাতিনি	Gabriela Sabatini
হার্বি হ্যানকক	Herbie Hancock
এই-ইচি নেগিশি	Ei-ichi Negishi
ওয়েন্ডেল মেরেডিথ স্ট্যানলি	Wendell Meredith Stanley
আকিরা সুজুকি	Akira Suzuki
আলমারি	Skap
জন কুস্যাক	John Cusack
জায়ান্ট কজওয়ে	Giant's Causeway
একাডেমি পুরস্কার (সেরা পার্শ্ব অভিনেত্রী)	Oscar for beste kvinnelige birolle
জন হাওয়ার্ড নরথর্প	John Howard Northrop
ত্রৈধ বিন্দু	Trippelpunkt
অ্যাডাম জি. রেইস	Adam G. Riess
রিচার্ড এফ. হেক	Richard F. Heck
কনস্টানটিন নভোসেলভ	Konstantin Novoselov
জেরার দেপার্দিও	Gérard Depardieu
পল সি লতেরবার	Paul C. Lauterbur
ভ্রাংগেল দ্বীপ	Vrangeløya
কিম্ব্রি জাতি	Kimbrere
আহমেদ হাসান	Ahmed Zewail
অতিতারল্য	Superfluid
মার্টিন চেলফি	Martin Chalfie
জেরোম কার্ল	Jerome Karle
জন ফেন	John B. Fenn
রিচার্ড স্মোলি	Richard Smalley
অ্যালান হিগার	Alan J. Heeger
জেমস ব্যাচেলার সামনার	James B. Sumner
জর্জ পোর্টার	George Porter
ম্যাগনাস কার্লসেন	Magnus Carlsen
সেকেন্ড লাইফ	Second Life
ইউরেনামোত্তর মৌল	Transuran
সল পার্লমাটার	Saul Perlmutter
জগজিৎ সিং	Jagjit Singh
তুঁতে	Kobbersulfat
পিটার প্যান	Peter Pan
পাট	Jute
পক্ষাঘাত	Lammelse
রবার্ট লুকাস	Robert Lucas jr.
ম্যানুয়েল নয়্যার	Manuel Neuer
থিংভেৎলির	Þingvellir nasjonalpark
লার্স অনসেজার	Lars Onsager
এইচ ডেভিড পলিতজার	David Politzer
ঝিনুক	Østers
মার্টিন লুইস পার্ল	Martin L. Perl
নরম্যান ফস্টার র‌্যামজে	Norman Foster Ramsey jr.
শেল্ডন লি গ্ল্যাশো	Sheldon Lee Glashow
হার্বার্ট হপ্টম্যান	Herbert A. Hauptman
বেন রয় মোটেলসন	Ben Roy Mottelson
লিওনিদ ক্যান্টোরোভিচ	Leonid Kantorovitsj
ফ্রাঙ্ক অ্যান্থনি উইলজেক	Frank Wilczek
হর গোবিন্দ খোরানা	Har Gobind Khorana
টমাস জন সার্জেন্ট	Thomas J. Sargent
থালিয়া	Thalia
কুন্দুজ	Kunduz
উত্তর গোয়া জেলা	North Goa (distrikt)
দক্ষিণ গোয়া জেলা	South Goa (distrikt)
পোপ ষষ্ঠ আলেকজান্ডার	Alexander VI
গ্রেগরি পেক	Gregory Peck
রেয়া (পৌরাণিক চরিত্র)	Rhea (mytologi)
ধনুর্বিদ্যা	Bueskyting
ধ্যান	Meditasjon
অর্বুদ	Giga
এ আর রহমান	A.R. Rahman
ড্যানিয়েল কার্লটন গ্যাজডুসেক	Carleton Gaidusek
রবার্ট ফ্রান্সিস ফার্চগট	Robert F. Furchgott
হ্যামিল্টন ও স্মিথ	Hamilton O. Smith
দ্য গ্রেট ডিক্টেটর	Diktatoren
রোটারী ইন্টারন্যাশনাল	Rotary International
থমাস এ. স্টিত্‌জ	Thomas Steitz
পিটার আর্থার ডায়মন্ড	Peter Diamond
ডেল টমাস মর্টেনসেন	Dale Mortensen
এডুইন জি ক্রেবস	Edwin G. Krebs
ক্রিস্টোফার আলবার্ট সিমস	Christopher A. Sims
অ্যানথ্রাক্স (ব্যান্ড)	Anthrax
মার্শাল ডাব্লিউ নিরেনবার্গ	Marshall Warren Nirenberg
উইলিয়াম ফ্রান্সিস জিওক	William Giauque
এডয়ার্ড কেলভিন কেন্ডাল	Edward Calvin Kendall
জুলিয়াস অ্যাক্সেলরড	Julius Axelrod
টপ গান	Top Gun – den beste av de beste
এমটিভি মুভি পুরস্কার	MTV Movie Awards
জর্জ তাকেই	George Takei
কান্তিকো দা লিবেরদাদে	Cântico da Liberdade
রিয়াংগাং	Ryanggang
হেনরিয়েটা লিভিট	Henrietta Swan Leavitt
শ্যাম্পেইন কাউন্টি, ইলিনয়	Champaign County (Illinois)
ওহ উগান্ডা, ল্যান্ড অফ বিউটি	Oh Uganda, Land of Beauty
কোল্যাটেরাল (চলচ্চিত্র)	Collateral
ডার্টি হ্যারি	Dirty Harry
জুলি দেলপি	Julie Delpy
ব্যারি শার্পলেস	Karl Barry Sharpless
রবার্ট কার্ল	Robert Curl
উইলিয়াম লিপ্সচম্ব	William Nunn Lipscomb jr.
অ্যালান ম্যাকডিয়ারমিড	Alan MacDiarmid
উইলিয়াম নোল্‌স	William Standish Knowles
স্টানফোর্ড মুর	Stanford Moore
কোইচি তানাকা	Koichi Tanaka
জেমস হোয়াইট ব্ল্যাক	James W. Black
মিথুন (দ্ব্যর্থতা নিরসন)	Gemini
কক্ষ তাপমাত্রা	Romtemperatur
ফ্ল্যামস্টিড সূচক	Flamsteedbetegnelse
হেনরি ড্র্যাপার তালিকা	Henry Draper-katalogen
শেরউড রোল্যান্ড	Frank Sherwood Rowland
একাডেমি পুরস্কার (সেরা প্রামাণ্য চিত্র)	Oscar for beste dokumentarfilm
হ্যামিলনের বাঁশিওয়ালা	Rottefangeren fra Hameln
হুসাইন ইবনে আলি	Husayn ibn Ali
রবার্ট পিরেস	Robert Pirès
রাধা	Radha
আরব জাতীয়তাবাদ	Arabisk nasjonalisme
মিশ্র মার্শাল আর্টস	Mixed martial arts
অভ্র	Glimmer
ইনস্টিটিউট অফ ইন্টারন্যাশনাল ল	Folkerettsinstituttet
ইভান রাকিতিচ	Ivan Rakitić
ডাকোটা ফ্যানিং	Dakota Fanning
সিলিকন ডাই অক্সাইড	Silisiumdioksid
রবার্ট গুইরিন	Robert Guérin
তিলা ঘুঘু	Perlekragedue
গেন্নারো গাতুসো	Gennaro Gattuso
ইয়োকো ওনো	Yoko Ono
রামোন ম্যাগসেসে	Ramón F. Magsaysay
হোপি	Hopi
মামোরে নদী	Mamoré
আলতিপ্লানো	Altiplano
হাফেজ আল-আসাদ	Hafez al-Assad
জো রাইট	Joe Wright
গ্র্যান্ড ক্যানিয়ন	Grand Canyon
নরবলি	Menneskeofring
পিম্পরি চিনচওয়াদ	Pimpri-Chinchwad
সমুদ্র খাত	Dyphavsgrop
হাওয়ার্ড জিন	Howard Zinn
সার্হিও আগুয়েরো	Sergio Agüero
ইউরোপের ভূগোল	Europas geografi
বড় চামট সাগর কাছিম	Havlærskilpadde
এফিমেরিস	Efemeride
লোগান পর্বত	Mount Logan
শার্ক টেল	Stor ståhai
দন্ত্য ব্যঞ্জনধ্বনি	Dentaler
কর্নেল স্যান্ডার্‌স	Harland David Sanders
পাকান্ত্রবিদ্যা	Gastroenterologi
পরম মান	Absoluttverdi
ক্লোনিং	Kloning
মুই থাই	Muay Thai
ফ্যাক্টরিয়াল	Fakultet (matematikk)
ভীমসেন জোশী	Bhimsen Joshi
বাল্‌খ প্রদেশ	Balkh (provins)
সুপার কম্পিউটার	Superdatamaskin
মাশহাদ	Mashhad
নার্সিং	Sykepleie
বিচ্ছিন্ন গণিত	Diskret matematikk
আকুপাংচার	Akupunktur
গ্যাসীয় দৈত্য	Gasskjempe
রাষ্ট্রদূত	Ambassadør
হিলারি ডাফ	Hilary Duff
জার্মানির ইতিহাস	Tysklands historie
ভোডাফোন	Vodafone
টাকিলা	Tequila (brennevin)
জন্ম নিয়ন্ত্রণ	Prevensjon
হারমান রোরশাখ	Hermann Rorschach
কার্ল আলেকজান্ডার মুলার	Karl Alexander Müller
দানিয়েল বার্নুয়ি	Daniel Bernoulli
এলি দ্যুকম্যুন	Élie Ducommun
জড়তা	Treghet
বথনিয়া উপসাগর	Bottenvika
রবিন হুড	Robin Hood
সংখ্যা পদ্ধতি	Tallsystem
রোজমেরি	Rosmarin
সেগা	Sega
জাইলেম	Vedvev
প্লাংকের ধ্রুবক	Plancks konstant
এরিক ফন দানিকেন	Erich von Däniken
অ্যানাগ্রাম	Anagram
জোহান জ্যাকব বামার	Johann Balmer
তারিক রমাদান	Tariq Ramadan
আলফ্রেড ওয়ের্নার	Alfred Werner
ফেলিক্স ব্লখ	Felix Bloch
শার্ল এদুয়ার গিয়্যোম	Charles Édouard Guillaume
হাইনরিশ রোরার	Heinrich Rohrer
রবার্ট এ হাইনলাইন	Robert A. Heinlein
হ্যাট্রিক	Hat-trick
শকুন	Gribb (fugl)
ভেনিসা হাডজেন্স	Vanessa Hudgens
জঁ পিয়াজেঁ	Jean Piaget
ফ্রান্সিস ক্রিক	Francis Crick
মৌচাক	Bikake
মাইকেল কেইন	Michael Caine
শারন্ত্‌ নদী	Charente (elv)
রিপাবলিক	Staten (dialog)
স্থানিকতা	Endemisk
সিনক্লেয়ার লুইস	Sinclair Lewis
আবিষ্কার	Oppfinnelse
বিলোপন	Utryddelse
আন্দালুস	Al-Andalus
ইউএস ওপেন (টেনিস)	US Open (tennis)
নিউক্লিক এসিড	Nukleinsyre
সাইবারনেটিক্‌স	Kybernetikk
গ্লোরিয়া মাকাপাগাল আরোইয়ো	Gloria Macapagal-Arroyo
এমি পুরস্কার	Emmy-prisen
রয়েল সোসাইটি	Royal Society
মাইল এন্ড	Mile End
যাকাত	Zakat
জাঁ শার্ল লেওনার দ্য সিসমন্দি	Jean Charles Léonard de Sismondi
ওয়েসলি স্নাইডার	Wesley Sneijder
বডিবিল্ডিং	Kroppsbygging
নিল্‌স হেনরিক আবেল	Niels Henrik Abel
অতিপরিবাহিতা	Superleder
স্কর্পিয়ন্স	Scorpions
পরিবর্তী তড়িৎ প্রবাহ	Vekselstrøm
বেথনাল গ্রিন	Bethnal Green
কনিক	Kjeglesnitt
তড়িৎ পরিবাহী	Elektrisk leder
হলোওয়ে	Holloway (London)
আপাত মান	Tilsynelatende størrelsesklasse
হাইবারি	Highbury
এশিয়ান কালো ভাল্লুক	Asiatisk svartbjørn
ধরিত্রী দিবস	Jordens dag
স্বাদ	Smak
পিউনিক যুদ্ধসমূহ	Punerkrigene
ইউনো	Juno
সালমা হায়েক	Salma Hayek
ভিক্টর হারা	Víctor Jara
উইলিয়াম জেমস	William James
চাদ হ্রদ	Tsjadsjøen
কমলা (ফল)	Mandarin (frukt)
লুসোন দ্বীপ	Luzon
পম্পে	Pompeius
দ্বিতীয় ভাষা	Andrespråk
ইমাম	Imam
শিয়াল	Sjakaler
পার্মেনিদিস	Parmenides
বরিস আকুনিন	Boris Akunin
এহুদ বারাক	Ehud Barak
জলবায়ু পরিবর্তন	Klimaendring
টাংগাস্কার ঘটনা	Tunguska-eksplosjonen
সদিক রাশির বীজগণিত	Vektorrom
দূরত্ব	Avstand
ইরানী বিপ্লব	Den iranske revolusjon
তানজাহ	Tanger
নিশি বক	Natthegre
ওয়ার্নার ব্রস.	Warner Bros.
ফিলিপ্পো ইনজাঘি	Filippo Inzaghi
স্টিভ আরউইন	Steve Irwin
নূহের নৌকা	Noahs ark
ক্রিস্টেন স্টুয়ার্ট	Kristen Stewart
ইরানের জাতীয় পতাকা	Irans flagg
হানা মন্টানা	Hannah Montana
চিনস্ট্র্যাপ পেঙ্গুইন	Ringpingvin
লে দেয়া বেয়াগা, লে আম ইস্টোম	Land der Berge, Land am Strome
দরকারবাদ	Pragmatisme
দোকান	Detaljhandel
ব্রেভ (২০১২-এর চলচ্চিত্র)	Modig (film)
কিন্ডারগার্টেন	Barnehage
মিনার্ভা	Minerva
মাঙ্গালোর	Mangalore
ম্যানহাটন প্রকল্প	Manhattanprosjektet
ফলিক এসিড	Folsyre
বমি	Oppkast
ললিতা	Lolita
পশ্চিম কেপ প্রদেশ	Western Cape
বাংলাদেশের জাতীয় পতাকা	Bangladeshs flagg
বোমা	Bombe
আলবার্ট আব্রাহাম মাইকেলসন	Albert Abraham Michelson
নিষেকক্রিয়া	Befruktning
দক্ষিণ কোরিয়ার জাতীয় পতাকা	Sør-Koreas flagg
হোসে এচেগারাই	José Echegaray y Eizaguirre
দ্য লর্ড অফ দ্য রিংস: দ্য ফেলোশিপ অফ দ্য রিং	Ringenes herre: Ringens brorskap
বাহাদুর শাহ জাফর	Bahadur Shah Zafar
কালি	Blekk
মিরান্ডা কের	Miranda Kerr
সামুদ্রিক শসা	Sjøpølser
পিক্সার	Pixar
অজাচার	Incest
বেভারলি হিলস, ক্যালিফোর্নিয়া	Beverly Hills
সমযোজী বন্ধন	Kovalent binding
আতসবাজী	Fyrverkeri
আর্থার কম্পটন	Arthur Holly Compton
মাইক্রোওয়েভ ওভেন	Mikrobølgeovn
প্যানথেরা	Brølekatter
স্নেহ পদার্থ	Fett
অ্যাসোসিয়েশন ফর কম্পিউটিং মেশিনারি	Association for Computing Machinery
টাপির	Tapirer
ইথারনেট হাব	Hub (datanettverk)
গতিবিদ্যা	Dynamikk (mekanikk)
পাতিশিয়াল	Gullsjakal
ইর্তিশ নদী	Irtysj
শিকাগো বুল্‌স	Chicago Bulls
শিলাময় গ্রহ	Terrestrisk planet
ডেন্টন, টেক্সাস	Denton (Texas)
দ্বিতীয় আল ওয়ালিদ	Al-Walīd II
ড্রামস	Trommesett
হিশাম ইবনে আবদুল মালিক	Hišām ibn ʿAbd al-Malik
ইন্দ্র	Indra
পাকিস্তানের জাতীয় পতাকা	Pakistans flagg
প্রথম বায়েজীদ	Bayezid I
দ্বিতীয় মারওয়ান	Marwān II
ফার্মাকোলজি	Farmakologi
তৃতীয় ইয়াজিদ	Yazīd III
ইবরাহিম ইবনুল ওয়ালিদ	Ibrāhīm ibn al-Walīd
কাইক্লোপ্স	Kyklop
ফুটবল ক্লাব দু পোর্তো	FC Porto
শার্ল পেরো	Charles Perrault
ওয়েম্বলি স্টেডিয়াম	Wembley Stadium
ইসরায়েলের জাতীয় পতাকা	Israels flagg
গ্রাহাম গ্রিন	Graham Greene
জৈব তথ্যবিজ্ঞান	Bioinformatikk
স্তন ক্যান্সার	Brystkreft
মূল্য সংযোজন কর	Merverdiavgift
সান্দ্রতা	Viskositet
হিদেতোশি নাকাতা	Hidetoshi Nakata
জন ফর্ব্‌স ন্যাশ	John Forbes Nash
সোর্স কোড	Kildekode
জর্জ সিম্‌নোন	Georges Simenon
রিকি মার্টিন	Ricky Martin
মাইকেল ওয়েন	Michael Owen
ই তু মামা তামবিয়েন	Og mora di også
অ্যাডভান্সড মাইক্রো ডিভাইসেস	Advanced Micro Devices
হুসাইন বিন আলি, মক্কার শরিফ	Sharif Husayn
দ্যা লাস্ট সাপার (লিওনার্দো দা ভিঞ্চি)	Nattverden (Leonardo)
দালি ব্লিন্ড	Daley Blind
হ্যারল্ড উইলসন	Harold Wilson
এডওয়ার্ড হিথ	Edward Heath
অ্যালেক ডগলাস-হোম	Alec Douglas-Home
হ্যারল্ড ম্যাকমিলান	Harold Macmillan
জৈবজ্বালানী	Biobrensel
এন্টোনি ইডেন	Anthony Eden
ক্লিমেন্ট এট্‌লি	Clement Attlee
সাদা হাঙ্গর	Hvithai
ভোপালের বিপর্যয়	Bhopal-katastrofen
ভারত বিভাগ	Delingen av Britisk India
পার্সেপলিস্‌	Persepolis
ফিনিক্স (নভোযান)	Phoenix (romsonde)
অ্যানথ্রাক্স (রোগ)	Miltbrann
ট্রাফালগার স্কয়ার	Trafalgar Square
কুং ফু পান্ডা	Kung Fu Panda
নিকোলাই লোবাচেভস্কি	Nikolaj Lobatsjevskij
লিয়াওনিং	«Liaoning»
মিথুন (জ্যোতিষশাস্ত্র)	Tvillingene (stjernetegn)
হাতশেপসুত	Hatshepsut
ব্রিটিশ ভারত	Britisk India
